year,agency_code,subgroup,den,pct,masking
2019,10324,AIG,23,82.6,
2019,10324,ALL,93,53.8,
2019,10324,BL7,22,40.9,
2019,10324,EDS,28,50.0,
2019,10324,FEM,38,55.3,
2019,10324,HI7,10,60.0,
2019,10324,MALE,55,52.7,
2019,10324,NEDS,65,55.4,
2019,10324,NSWD,84,58.3,
2019,10324,WH7,51,58.8,
2019,10348,ALL,43,58.1,
2019,10348,BL7,10,40.0,
2019,10348,EDS,27,66.7,
2019,10348,FEM,15,53.3,
2019,10348,HI7,24,62.5,
2019,10348,MALE,28,60.7,
2019,10348,NEDS,16,43.8,
2019,10348,NSWD,42,59.5,
2019,10360,AIG,20,95.0,
2019,10360,ALL,90,60.0,
2019,10360,BL7,35,45.7,
2019,10360,EDS,64,56.3,
2019,10360,FEM,34,61.8,
2019,10360,HI7,40,70.0,
2019,10360,MALE,56,58.9,
2019,10360,NEDS,26,69.2,
2019,10360,NSWD,80,66.3,
2019,10360,SWD,10,10.0,
2019,10360,WH7,12,66.7,
2019,10388,AIG,38,86.8,
2019,10388,ALL,165,63.6,
2019,10388,EDS,35,51.4,
2019,10388,FEM,80,70.0,
2019,10388,HI7,14,71.4,
2019,10388,MALE,85,57.6,
2019,10388,NEDS,130,66.9,
2019,10388,NSWD,154,66.2,
2019,10388,SWD,11,27.3,
2019,10388,WH7,141,62.4,
2019,10396,AIG,29,86.2,
2019,10396,ALL,159,60.4,
2019,10396,BL7,53,43.4,
2019,10396,EDS,73,53.4,
2019,10396,FEM,76,59.2,
2019,10396,HI7,35,71.4,
2019,10396,MALE,83,61.4,
2019,10396,MU7,11,45.5,
2019,10396,NEDS,86,66.3,
2019,10396,NSWD,146,63.7,
2019,10396,SWD,13,23.1,
2019,10396,WH7,54,70.4,
2019,10400,AIG,14,92.9,
2019,10400,ALL,104,58.7,
2019,10400,EDS,18,55.6,
2019,10400,FEM,51,56.9,
2019,10400,HI7,11,63.6,
2019,10400,MALE,53,60.4,
2019,10400,NEDS,86,59.3,
2019,10400,NSWD,100,61.0,
2019,10400,WH7,79,60.8,
2019,010LEA,AIG,134,88.1,
