year,agency_code,category_code,pct_ap_pass,pct_ap_participation
2019,00A000,A,0.3333333333,0.0200956938
2019,00B000,A,0.7142857143,0.012797075
2019,10324,H,0.4514563107,0.1729638959
2019,10348,H,0.1666666667,0.1471389646
2019,10360,H,0.0476190476,0.0678148547
2019,10388,H,0.412371134,0.1385714286
2019,10396,H,0.4540229885,0.1528998243
2019,10400,H,0.5924528302,0.2370304114
2019,010LEA,,0.4257425743,0.1490115078
2019,01B000,A,0.5,0.1855670103
2019,01C000,A,0.4285714286,0.0368421053
2019,01D000,A,0.9166666667,0.238410596
2019,20302,H,0.6538461538,0.131092437
2019,020LEA,,0.6538461538,0.113372093
2019,40306,H,1.0,0.0014492754
2019,040LEA,,1.0,0.0010449321
2019,50302,H,0.523364486,0.1266272189
2019,050LEA,,0.523364486,0.1182320442
2019,60302,H,0.5890410959,0.1746411483
2019,60700,H,0.0,0.0117647059
2019,060LEA,,0.5810810811,0.1298245614
2019,70330,H,0.2222222222,0.0228426396
2019,70339,H,0.1176470588,0.0426065163
2019,70342,H,0.2222222222,0.1466821886
2019,070LEA,,0.2105263158,0.0768064679
2019,90330,H,0.0,0.0015797788
2019,90368,H,0.3181818182,0.0646108664
2019,090LEA,,0.3111111111,0.0330154072
2019,100326,H,0.5857142857,0.0646352724
2019,100334,H,0.7345132743,0.1119920714
2019,100348,H,0.4955752212,0.0817655572
2019,100LEA,,0.6081081081,0.0754524599
2019,110304,H,0.6861924686,0.1996658312
2019,110323,H,1.0,0.02
2019,110336,H,0.6571428571,0.0964187328
2019,110340,H,0.2179487179,0.0698299015
2019,110352,H,0.4619883041,0.1641074856
2019,110380,H,0.5693779904,0.2055063913
2019,110416,H,0.5755208333,0.2646450724
2019,110500,H,0.593220339,0.1540469974
2019,110LEA,,0.5631709331,0.1642033898
2019,111302,H,0.7526132404,0.2967942089
2019,111700,H,0.5702479339,0.3558823529
2019,111LEA,,0.6985294118,0.312165264
2019,11C000,A,0.36,0.1953125
2019,11D000,T,0.5,0.2384615385
2019,120314,H,0.375,0.103286385
2019,120318,H,0.6225165563,0.1326889279
2019,120346,H,0.5147058824,0.1125827815
2019,120370,H,0.3723849372,0.2950617284
2019,120LEA,,0.4597069597,0.1490988531
2019,130307,H,0.6025369979,0.255399568
2019,130310,H,0.4955752212,0.14125
2019,130314,H,0.5918367347,0.122909699
2019,130316,H,0.5700934579,0.1741253051
2019,130324,H,0.4,0.1071428571
2019,130326,H,0.4837398374,0.1932443048
2019,130332,H,0.6901840491,0.1938168847
2019,130LEA,,0.5725900116,0.1677218272
2019,132304,H,0.5107913669,0.088704531
2019,132LEA,,0.5107913669,0.088704531
2019,13A000,A,0.0,0.0048309179
2019,13B000,A,0.0,0.0166666667
2019,140348,H,0.53125,0.075739645
2019,140386,H,0.4097222222,0.1046511628
2019,140390,H,0.16,0.0352112676
2019,140LEA,,0.4163090129,0.0649205907
2019,150304,H,0.3513513514,0.0887290168
2019,150LEA,,0.3513513514,0.0619765494
2019,160313,H,0.8823529412,0.0339321357
2019,160314,H,0.8429752066,0.1491985203
2019,160344,H,0.7959183673,0.0904059041
2019,160LEA,,0.8262711864,0.096208724
2019,170316,H,0.24,0.1021798365
2019,170LEA,,0.24,0.1021798365
2019,180308,H,0.4588235294,0.2043269231
2019,180320,H,0.4507042254,0.0851318945
2019,180325,H,1.0,0.0024449878
2019,180340,H,0.5666666667,0.1033295063
2019,180348,H,0.3028169014,0.1740196078
2019,180376,H,0.5578231293,0.1296296296
2019,180LEA,,0.46215781,0.1264765784
2019,181322,H,0.3114035088,0.2244094488
2019,181LEA,,0.3114035088,0.1967213115
2019,182316,H,0.4,0.1169590643
2019,182700,H,0.4597701149,0.4027777778
2019,182LEA,,0.4311377246,0.1791845494
2019,190310,H,1.0,0.0769230769
