year,agency_code,dance_cat,music_cat,theatre_cat,va_cat
2019,00A000,N,Y,N,Y
2019,00B000,N,Y,N,Y
2019,010303,N,Y,Y,Y
2019,010304,N,Y,N,Y
2019,010308,N,Y,N,Y
2019,010310,N,Y,N,Y
2019,010311,N,Y,N,N
2019,010312,N,Y,N,Y
2019,010320,N,Y,N,Y
2019,010324,Y,Y,Y,Y
2019,010326,N,Y,N,Y
2019,010328,N,Y,N,Y
2019,010340,N,Y,N,Y
2019,010346,N,Y,N,Y
2019,010347,Y,Y,N,Y
2019,010348,Y,Y,Y,Y
2019,010350,N,Y,N,Y
2019,010351,N,Y,N,Y
2019,010353,N,Y,N,Y
2019,010354,N,Y,N,Y
2019,010357,N,Y,N,Y
2019,010358,N,Y,N,Y
2019,010360,Y,Y,Y,Y
2019,010362,N,Y,N,Y
2019,010364,N,Y,Y,Y
2019,010372,N,Y,N,Y
2019,010374,N,Y,N,Y
2019,010378,N,N,N,Y
2019,010380,N,Y,N,Y
2019,010384,N,Y,N,Y
2019,010388,Y,Y,N,Y
2019,010390,N,Y,N,Y
2019,010392,Y,Y,Y,Y
2019,010394,N,Y,Y,Y
2019,010396,N,Y,N,Y
2019,010400,Y,Y,Y,Y
2019,010403,N,Y,N,Y
2019,010406,N,Y,Y,Y
2019,01B000,Y,Y,Y,Y
2019,01C000,Y,Y,N,Y
2019,01D000,N,Y,Y,Y
2019,020302,N,Y,N,Y
2019,020303,N,N,Y,Y
2019,020304,N,Y,N,N
2019,020306,N,Y,N,Y
2019,020308,N,Y,N,N
2019,020316,N,Y,N,N
2019,020320,N,Y,N,N
2019,020324,N,Y,N,N
2019,020328,N,Y,N,N
2019,020330,N,Y,N,Y
2019,020332,N,Y,N,N
2019,030304,N,Y,Y,Y
2019,030320,N,Y,N,Y
2019,040304,N,Y,N,Y
2019,040305,N,Y,N,Y
2019,040306,N,Y,N,Y
2019,040309,N,Y,N,N
2019,040311,N,Y,N,N
2019,050302,N,Y,Y,Y
2019,050303,N,Y,N,Y
2019,050305,N,Y,N,Y
2019,050310,N,Y,N,Y
2019,050330,N,Y,N,Y
2019,050335,N,Y,N,Y
2019,060302,N,Y,Y,Y
2019,060304,N,Y,N,Y
2019,060310,N,Y,Y,Y
2019,060316,N,Y,N,Y
2019,060318,N,Y,N,Y
2019,060322,N,Y,N,Y
2019,060328,N,Y,N,Y
2019,060332,N,Y,N,Y
2019,06B000,N,Y,N,Y
2019,070302,N,Y,N,Y
2019,070308,Y,Y,N,Y
2019,070325,N,Y,N,Y
2019,070326,N,Y,N,Y
2019,070327,N,Y,N,Y
2019,070328,N,Y,N,Y
2019,070329,N,Y,N,Y
2019,070330,Y,Y,N,Y
2019,070338,N,Y,N,Y
2019,070339,N,Y,N,Y
2019,070340,N,Y,N,Y
2019,070342,N,Y,Y,Y
2019,07A000,N,Y,N,Y
2019,080311,N,Y,N,Y
2019,080312,N,Y,N,Y
2019,080314,N,Y,N,N
2019,080362,N,Y,N,N
2019,090315,N,Y,N,N
2019,090317,N,Y,N,Y
2019,090318,N,Y,N,Y
2019,090320,N,Y,N,Y
2019,090324,N,Y,N,Y
2019,090328,N,Y,N,Y
2019,090330,N,Y,N,Y
2019,090332,N,Y,N,Y
2019,090333,N,Y,N,Y
2019,090352,N,Y,N,Y
2019,090365,N,Y,N,Y
2019,090368,N,Y,N,Y
2019,09A000,N,Y,N,N
