year,agency_code,category_code,subgroup,pct_ap,pct_ib,pct_ccp,total_ap,total_ib,total_ccp
2019,00A000,A,AS7,3.23,,4.55,1.0,,1.0
2019,00A000,A,All,100.0,,100.0,31.0,,22.0
2019,00A000,A,BL7,25.81,,13.64,8.0,,3.0
2019,00A000,A,FEM,77.42,,86.36,24.0,,19.0
2019,00A000,A,HI7,6.45,,4.55,2.0,,1.0
2019,00A000,A,MALE,19.35,,13.64,6.0,,3.0
2019,00A000,A,MU7,3.23,,,1.0,,
2019,00A000,A,SWD,,,4.55,,,1.0
2019,00A000,A,WH7,58.06,,77.27,18.0,,17.0
2019,00B000,A,All,,,100.0,,,5.0
2019,00B000,A,BL7,,,40.0,,,2.0
2019,00B000,A,FEM,,,80.0,,,4.0
2019,00B000,A,MALE,,,20.0,,,1.0
2019,00B000,A,MU7,,,20.0,,,1.0
2019,00B000,A,WH7,,,40.0,,,2.0
2019,010303,H,AM7,,,0.9,,,2.0
2019,010303,H,AS7,,,2.71,,,6.0
2019,010303,H,All,,,100.0,,,221.0
2019,010303,H,BL7,,,19.46,,,43.0
2019,010303,H,FEM,,,58.37,,,129.0
2019,010303,H,HI7,,,28.05,,,62.0
2019,010303,H,MALE,,,41.63,,,92.0
2019,010303,H,MU7,,,4.98,,,11.0
2019,010303,H,SWD,,,0.45,,,1.0
2019,010303,H,WH7,,,43.89,,,97.0
2019,010324,H,AS7,2.02,,1.33,4.0,,6.0
2019,010324,H,All,100.0,,100.0,198.0,,451.0
2019,010324,H,BL7,5.05,,21.73,10.0,,98.0
2019,010324,H,ELS,0.51,,2.44,1.0,,11.0
2019,010324,H,FEM,37.37,,43.02,74.0,,194.0
2019,010324,H,HI7,6.06,,14.63,12.0,,66.0
2019,010324,H,MALE,22.73,,56.98,45.0,,257.0
2019,010324,H,MU7,2.02,,5.32,4.0,,24.0
2019,010324,H,PI7,,,0.44,,,2.0
2019,010324,H,SWD,,,13.08,,,59.0
2019,010324,H,WH7,44.95,,56.54,89.0,,255.0
2019,010348,H,AS7,0.92,,1.45,1.0,,2.0
2019,010348,H,All,100.0,,100.0,109.0,,138.0
2019,010348,H,BL7,11.01,,23.91,12.0,,33.0
2019,010348,H,ELS,,,7.97,,,11.0
2019,010348,H,FEM,28.44,,28.26,31.0,,39.0
