year,agency_code,career_cluster,num_concentrators
2019,06B000,AAVC,1
2019,010303,AGNR,1
2019,010303,FINA,1
2019,010303,HOSP,1
2019,010303,HUMA,1
2019,010303,MANU,1
2019,010303,TRAN,1
2019,010324,AGNR,24
2019,010324,ARCH,33
2019,010324,AAVC,17
2019,010324,BMA,6
2019,010324,FINA,4
2019,010324,HLTH,10
2019,010324,HOSP,39
2019,010324,HUMA,1
2019,010324,INFO,7
2019,010324,LAW,3
2019,010324,MRKT,2
2019,010324,STEM,5
2019,010324,TRAN,4
2019,010348,AGNR,12
2019,010348,ARCH,20
2019,010348,AAVC,1
2019,010348,BMA,5
2019,010348,FINA,7
2019,010348,HLTH,10
2019,010348,HOSP,15
2019,010348,HUMA,1
2019,010348,INFO,3
2019,010348,LAW,1
2019,010348,STEM,1
2019,010348,TRAN,15
2019,010360,AGNR,25
2019,010360,ARCH,18
2019,010360,AAVC,3
2019,010360,BMA,8
2019,010360,FINA,3
2019,010360,HLTH,15
2019,010360,HOSP,39
2019,010360,HUMA,2
2019,010360,INFO,4
2019,010360,LAW,8
2019,010360,MRKT,3
2019,010360,STEM,12
2019,010360,TRAN,5
2019,010378,AGNR,1
2019,010388,AGNR,104
2019,010388,ARCH,25
2019,010388,AAVC,13
2019,010388,BMA,2
2019,010388,HLTH,35
2019,010388,HOSP,21
2019,010388,INFO,14
2019,010388,LAW,11
2019,010388,MANU,1
2019,010388,STEM,9
2019,010388,TRAN,5
2019,010396,AGNR,26
2019,010396,ARCH,9
2019,010396,AAVC,77
2019,010396,BMA,28
2019,010396,FINA,27
2019,010396,HLTH,15
2019,010396,HOSP,55
2019,010396,HUMA,3
2019,010396,INFO,6
2019,010396,LAW,2
2019,010396,MANU,2
2019,010396,MRKT,1
2019,010396,STEM,13
2019,010396,TRAN,4
2019,010400,AGNR,51
2019,010400,ARCH,18
2019,010400,AAVC,2
2019,010400,BMA,1
2019,010400,HLTH,20
2019,010400,HOSP,18
2019,010400,HUMA,1
2019,010400,INFO,15
2019,010400,LAW,2
2019,010400,MRKT,1
2019,010400,STEM,1
2019,010400,TRAN,7
2019,19A000,HLTH,1
2019,19A000,MANU,1
2019,19A000,STEM,1
2019,19A000,TRAN,1
2019,020302,AGNR,88
2019,020302,ARCH,60
2019,020302,AAVC,7
2019,020302,BMA,6
2019,020302,HLTH,43
2019,020302,HOSP,24
2019,020302,HUMA,4
2019,020302,INFO,10
2019,020302,LAW,2
2019,020302,MANU,11
2019,020302,MRKT,2
2019,020302,STEM,3
2019,030304,AGNR,52
2019,030304,ARCH,15
2019,030304,AAVC,17
2019,030304,BMA,6
