year,agency_code,num_credentials,num_enrollments,cred_earned_pct
2019,10303,5,,
2019,10311,333,,
2019,10324,1285,,
2019,10348,951,,
2019,10360,314,,
2019,10388,1912,,
2019,10396,365,,
2019,10400,887,,
2019,20302,1000,,
2019,30304,792,,
2019,40304,4,,
2019,40306,978,,
2019,50302,977,,
2019,60302,176,,
2019,60700,23,,
2019,70311,10,,
2019,70330,506,,
2019,70339,1090,,
2019,70342,626,,
2019,80311,21,,
2019,80312,144,,
2019,90330,1325,,
2019,90368,1439,,
2019,100308,136,,
2019,100326,660,,
2019,100334,745,,
2019,100348,1357,,
2019,110303,5,,
2019,110304,882,,
2019,110323,6,,
2019,110336,772,,
2019,110340,945,,
2019,110352,905,,
2019,110380,996,,
2019,110416,665,,
2019,110500,96,,
2019,111302,374,,
2019,111700,40,,
2019,120308,9,,
2019,120310,8,,
2019,120314,1266,,
2019,120318,944,,
2019,120346,1238,,
2019,120370,1530,,
2019,130307,529,,
2019,130310,1289,,
2019,130314,430,,
2019,130316,346,,
2019,130317,11,,
2019,130324,730,,
2019,130326,300,,
2019,130332,449,,
2019,130333,16,,
2019,132304,1390,,
2019,140305,45,,
2019,140348,1165,,
2019,140386,2575,,
2019,140390,1191,,
2019,150304,205,,
2019,150350,3,,
2019,160313,385,,
2019,160314,326,,
2019,160344,773,,
2019,170316,474,,
2019,180308,385,,
2019,180320,542,,
2019,180325,1,,
2019,180340,569,,
2019,180348,437,,
2019,180376,351,,
2019,181318,293,,
2019,181322,767,,
2019,182316,881,,
2019,182700,6,,
2019,190310,6,,
2019,190316,364,,
2019,190336,720,,
2019,190342,767,,
2019,200308,251,,
2019,200314,82,,
2019,200322,5,,
2019,200328,212,,
2019,200350,9,,
2019,210312,431,,
2019,220310,200,,
2019,230312,2571,,
2019,230322,7,,
2019,230324,1062,,
2019,230330,5,,
2019,230350,1322,,
2019,230361,2118,,
2019,240334,245,,
2019,240371,1133,,
2019,240373,236,,
2019,240380,595,,
2019,241316,498,,
2019,250314,144,,
2019,250321,8,,
2019,250340,866,,
2019,250356,721,,
2019,250372,729,,
2019,260318,1409,,
2019,260322,209,,
2019,260325,1379,,
2019,260357,639,,
2019,260359,637,,
2019,260374,2,,
2019,260388,12,,
2019,260408,773,,
2019,260411,50,,
2019,260424,782,,
2019,260427,953,,
2019,260446,145,,
2019,260449,4,,
2019,260455,152,,
2019,260700,9,,
2019,270306,640,,
2019,270311,86,,
2019,280304,192,,
2019,280316,237,,
2019,280330,830,,
2019,290308,1843,,
2019,290314,10,,
2019,290315,8,,
2019,290324,415,,
2019,290336,1336,,
2019,290348,843,,
2019,290349,263,,
2019,290365,115,,
2019,290388,411,,
2019,290389,99,,
2019,291336,655,,
2019,292324,667,,
2019,300312,1888,,
2019,310338,5,,
2019,310344,655,,
2019,310352,888,,
2019,310364,181,,
2019,310392,338,,
2019,320312,397,,
2019,320317,105,,
2019,320322,5,,
2019,320323,15,,
2019,320325,135,,
2019,320353,3,,
2019,320356,254,,
2019,320365,367,,
2019,320368,397,,
2019,320701,171,,
2019,330328,34,,
2019,330350,156,,
2019,330358,115,,
2019,340311,356,,
2019,340330,23,,
2019,340332,502,,
2019,340362,1,,
2019,340364,255,,
2019,340382,179,,
2019,340446,1,,
2019,340454,130,,
2019,340460,112,,
2019,340486,100,,
2019,340488,298,,
2019,340495,179,,
2019,340496,93,,
2019,340542,335,,
2019,340556,443,,
2019,340568,4,,
2019,350308,1422,,
2019,350321,862,,
2019,350336,510,,
2019,360310,1566,,
2019,360336,1511,,
2019,360360,1272,,
2019,360372,32,,
2019,360378,812,,
2019,360390,987,,
2019,360396,1101,,
2019,360418,851,,
2019,360428,1495,,
2019,360470,1080,,
2019,360494,978,,
2019,360550,4,,
2019,370312,220,,
2019,380308,375,,
2019,390321,3,,
2019,390322,132,,
2019,390323,1,,
2019,390324,462,,
2019,390352,60,,
2019,390700,25,,
2019,400308,1076,,
2019,410319,211,,
2019,410326,44,,
2019,410355,518,,
2019,410358,397,,
2019,410394,749,,
2019,410399,6,,
2019,410401,8,,
2019,410406,223,,
2019,410407,89,,
2019,410408,6,,
2019,410483,17,,
2019,410484,304,,
2019,410489,497,,
2019,410490,298,,
2019,410508,874,,
2019,410529,367,,
2019,410544,82,,
2019,410545,1021,,
2019,410547,438,,
2019,410556,421,,
2019,410562,469,,
2019,410569,40,,
2019,410579,20,,
2019,410589,441,,
2019,410595,168,,
2019,420346,116,,
2019,420358,156,,
2019,421316,1557,,
2019,422310,29,,
2019,422315,87,,
2019,430341,4,,
2019,430345,48,,
2019,430346,1893,,
2019,430371,2944,,
2019,430378,2060,,
2019,430384,2106,,
2019,440326,18,,
2019,440378,372,,
2019,440390,772,,
2019,450316,849,,
2019,450334,149,,
2019,450341,1049,,
2019,450343,373,,
2019,450352,1468,,
2019,450354,7,,
2019,460320,110,,
2019,460322,20,,
2019,460340,52,,
2019,470312,1536,,
2019,470342,26,,
2019,470443,2,,
2019,480316,1,,
2019,480318,20,,
