year,agency_code,career_only,career_college_college_unc,college_college_unc_only,college_only,global_language
2019,00A000,,,,,1.0
2019,010324,1.0,38.0,120.0,4.0,12.0
2019,010348,0.0,16.0,45.0,5.0,
2019,010360,0.0,50.0,44.0,3.0,
2019,010388,1.0,85.0,121.0,15.0,24.0
2019,010396,0.0,79.0,96.0,5.0,12.0
2019,010400,0.0,50.0,120.0,9.0,5.0
2019,01B000,,,,,1.0
2019,01D000,,,,,2.0
2019,020302,0.0,87.0,116.0,21.0,14.0
2019,030304,2.0,64.0,30.0,3.0,5.0
2019,040304,0.0,2.0,27.0,0.0,
2019,040306,0.0,37.0,34.0,3.0,
2019,050302,0.0,66.0,116.0,42.0,1.0
2019,060302,1.0,27.0,21.0,18.0,
2019,060700,0.0,21.0,20.0,2.0,2.0
2019,06B000,0.0,0.0,2.0,0.0,
2019,070311,0.0,8.0,41.0,1.0,1.0
2019,070330,4.0,11.0,25.0,1.0,1.0
2019,070339,0.0,39.0,21.0,9.0,
2019,070342,0.0,35.0,108.0,15.0,3.0
2019,07A000,0.0,0.0,14.0,0.0,3.0
2019,080311,0.0,1.0,19.0,0.0,
2019,080312,0.0,17.0,34.0,2.0,
2019,090330,0.0,32.0,63.0,18.0,
2019,090368,0.0,83.0,88.0,49.0,
2019,09A000,0.0,0.0,10.0,0.0,
2019,100307,0.0,0.0,1.0,0.0,
2019,100326,0.0,31.0,99.0,27.0,11.0
2019,100334,0.0,55.0,175.0,20.0,16.0
2019,100348,0.0,83.0,197.0,37.0,2.0
2019,110303,0.0,1.0,1.0,5.0,
2019,110304,0.0,79.0,148.0,16.0,15.0
2019,110322,0.0,0.0,45.0,0.0,1.0
2019,110323,1.0,3.0,17.0,11.0,
2019,110336,1.0,47.0,66.0,7.0,6.0
2019,110340,1.0,95.0,130.0,26.0,7.0
2019,110352,0.0,83.0,72.0,20.0,25.0
2019,110380,0.0,77.0,81.0,18.0,1.0
2019,110416,0.0,102.0,223.0,18.0,57.0
2019,110500,0.0,89.0,86.0,1.0,1.0
2019,111302,0.0,29.0,116.0,12.0,24.0
2019,111700,0.0,27.0,48.0,1.0,15.0
2019,11D000,0.0,0.0,18.0,0.0,
2019,120310,0.0,7.0,55.0,9.0,
2019,120314,1.0,41.0,106.0,41.0,11.0
2019,120318,0.0,50.0,83.0,28.0,7.0
2019,120346,0.0,29.0,73.0,31.0,
2019,120370,7.0,38.0,73.0,22.0,15.0
2019,130307,1.0,172.0,182.0,8.0,43.0
2019,130310,0.0,94.0,240.0,20.0,15.0
2019,130314,0.0,33.0,98.0,29.0,36.0
2019,130316,0.0,62.0,171.0,17.0,17.0
2019,130324,3.0,48.0,78.0,10.0,11.0
2019,130326,1.0,68.0,109.0,8.0,10.0
