year,agency_code,stu_enroll,cte_enroll,pct
2019,00A000,1807,289,15.99
2019,00B000,1319,23,1.74
2019,010303,222,85,38.29
2019,010310,755,461,61.06
2019,010324,1186,871,73.44
2019,010348,757,511,67.5
2019,010350,715,318,44.48
2019,010353,683,378,55.34
2019,010360,976,722,73.98
2019,010378,114,56,49.12
2019,010388,1416,1090,76.98
2019,010390,708,417,58.9
2019,010394,936,408,43.59
2019,010396,1187,936,78.85
2019,010400,1114,778,69.84
2019,010403,840,413,49.17
2019,010406,592,378,63.85
2019,01B000,389,29,7.46
2019,01C000,338,49,14.5
2019,01D000,270,4,1.48
2019,020302,1165,908,77.94
2019,020306,610,492,80.66
2019,020330,572,461,80.59
2019,030304,417,380,91.13
2019,030308,68,68,100.0
2019,030316,62,62,100.0
2019,030320,185,161,87.03
2019,040304,230,82,35.65
2019,040305,42,9,21.43
2019,040306,712,638,89.61
2019,040309,684,669,97.81
2019,050302,862,603,69.95
2019,050303,60,60,100.0
2019,050305,479,362,75.57
2019,060302,429,336,78.32
2019,060310,191,144,75.39
2019,060318,269,222,82.53
2019,060334,27,12,44.44
2019,060700,86,63,73.26
2019,060701,51,38,74.51
2019,06A000,38,1,2.63
2019,070308,197,186,94.42
2019,070310,101,33,32.67
2019,070311,266,70,26.32
2019,070325,332,264,79.52
2019,070329,159,156,98.11
2019,070330,402,320,79.6
2019,070338,784,678,86.48
2019,070339,415,332,80.0
2019,070342,893,639,71.56
2019,07A000,180,1,0.56
2019,080311,170,88,51.76
2019,080312,510,400,78.43
2019,080314,479,413,86.22
2019,090315,235,207,88.09
2019,090320,211,207,98.1
2019,090330,638,505,79.15
2019,090332,324,293,90.43
2019,090365,261,259,99.23
2019,090368,665,606,91.13
2019,090376,47,2,4.26
2019,100307,380,63,16.58
2019,100308,99,72,72.73
2019,100309,513,434,84.6
2019,100316,963,626,65.01
2019,100326,1093,755,69.08
2019,100332,647,396,61.21
2019,100334,1049,690,65.78
2019,100335,754,632,83.82
2019,100344,211,112,53.08
2019,100348,1439,989,68.73
2019,110303,152,77,50.66
2019,110304,1182,803,67.94
2019,110306,529,378,71.46
2019,110322,270,87,32.22
2019,110323,71,9,12.68
2019,110326,566,313,55.3
2019,110336,743,559,75.24
2019,110338,530,351,66.23
2019,110340,1106,922,83.36
2019,110342,710,420,59.15
2019,110352,1080,759,70.28
2019,110380,1026,697,67.93
2019,110381,592,418,70.61
2019,110382,310,155,50.0
2019,110401,582,338,58.08
2019,110416,1494,919,61.51
2019,110420,589,396,67.23
2019,110425,331,125,37.76
2019,110450,366,96,26.23
2019,110451,358,238,66.48
2019,110500,385,382,99.22
2019,111302,950,657,69.16
2019,111356,742,395,53.23
2019,111369,146,119,81.51
2019,111700,330,197,59.7
2019,11D000,444,13,2.93
2019,120308,118,78,66.1
2019,120310,139,42,30.22
2019,120314,839,614,73.18
2019,120315,679,618,91.02
2019,120318,1148,882,76.83
2019,120334,529,511,96.6
2019,120346,593,435,73.36
2019,120350,530,478,90.19
2019,120370,807,594,73.61
2019,120376,564,525,93.09
2019,120390,539,502,93.14
2019,130307,1848,1320,71.43
