year,agency_code,category_code,ni,eff,he,ni_pct,eff_pct,he_pct
2019,00A000,A,17,18,18,0.3207547069,0.33962264659999997,0.33962264659999997
2019,00B000,A,12,32,32,0.1578947306,0.4210526347,0.4210526347
2019,010303,H,2,1,4,0.2857142985,0.1428571492,0.571428597
2019,010304,E,6,21,10,0.1621621549,0.5675675869,0.2702702582
2019,010308,E,4,23,9,0.11111111189999999,0.6388888954999999,0.25
2019,010310,M,18,18,7,0.4186046422,0.4186046422,0.1627907008
2019,010311,H,2,6,5,0.1538461596,0.4615384638,0.38461539149999996
2019,010312,E,10,23,15,0.2083333284,0.4791666567,0.3125
2019,010320,E,5,13,11,0.1724137962,0.4482758641,0.3793103397
2019,010324,H,15,37,12,0.234375,0.578125,0.1875
2019,010326,E,4,26,10,0.1000000015,0.6499999761999999,0.25
2019,010328,E,7,25,3,0.200000003,0.7142857313,0.08571428810000001
2019,010340,E,8,23,15,0.17391304670000002,0.5,0.3260869682
2019,010346,E,3,21,3,0.11111111189999999,0.7777777909999999,0.11111111189999999
2019,010347,E,2,37,7,0.0434782617,0.8043478131,0.1521739066
2019,010348,H,8,36,8,0.1538461596,0.6923077106000001,0.1538461596
2019,010350,M,16,25,2,0.3720930219,0.5813953279999999,0.046511627699999995
2019,010351,E,1,25,10,0.027777778,0.694444418,0.277777791
2019,010353,M,3,23,18,0.06818182019999999,0.5227272511,0.4090909064
2019,010354,E,6,27,12,0.1333333403,0.6000000238000001,0.2666666806
2019,010357,E,2,33,4,0.051282052,0.8461538553,0.10256410390000001
2019,010358,E,3,38,5,0.0652173907,0.8260869384,0.1086956486
2019,010360,H,7,23,32,0.1129032224,0.37096774579999997,0.5161290169
2019,010362,E,10,25,3,0.2631579041,0.6578947306,0.0789473653
2019,010364,E,1,16,14,0.0322580636,0.5161290169,0.4516128898
2019,010372,E,2,17,4,0.0869565234,0.7391304374,0.17391304670000002
2019,010374,E,3,27,15,0.06666667009999999,0.6000000238000001,0.3333333433
2019,010378,A,1,3,18,0.045454546799999995,0.13636364039999999,0.8181818128
2019,010380,E,4,36,8,0.0833333358,0.75,0.1666666716
2019,010384,E,8,19,13,0.200000003,0.474999994,0.32499998809999997
2019,010388,H,15,52,11,0.1923076957,0.6666666864999999,0.1410256475
2019,010390,M,7,22,15,0.1590909064,0.5,0.3409090936
2019,010392,E,2,15,7,0.0833333358,0.625,0.2916666567
2019,010394,M,12,16,4,0.375,0.5,0.125
2019,010396,H,3,46,19,0.044117648200000005,0.6764705777,0.27941176300000004
