year,agency_code,poverty,number_of_teachers,beg_teacher,pct_beg_teachers,prov_teachers,pct_prov_teachers,num_prin,inexp_count_prin,pct_inexp_prin
2019,00A000,NEITHER,95.0,9.0,0.0947,1.0,0.0105,,,
2019,00B000,NEITHER,100.0,9.0,0.09,0.0,0.0,,,
2019,010303,NEITHER,7.0,0.0,0.0,0.0,0.0,,,
2019,010304,NEITHER,42.0,5.0,0.11900000000000001,0.0,0.0,,,
2019,010308,NEITHER,37.0,1.0,0.027000000000000003,0.0,0.0,,,
2019,010310,HIGH,62.0,23.0,0.371,13.0,0.2097,,,
2019,010311,LOW,15.0,0.0,0.0,0.0,0.0,,,
2019,010312,LOW,51.0,5.0,0.098,1.0,0.0196,,,
2019,010320,NEITHER,35.0,8.0,0.2286,0.0,0.0,,,
2019,010324,LOW,71.0,7.0,0.0986,1.0,0.0141,,,
2019,010326,HIGH,46.0,13.0,0.2826,0.0,0.0,,,
2019,010328,LOW,35.0,0.0,0.0,0.0,0.0,,,
2019,010340,NEITHER,45.0,5.0,0.1111,0.0,0.0,,,
2019,010346,NEITHER,29.0,5.0,0.1724,0.0,0.0,,,
2019,010347,NEITHER,45.0,6.0,0.1333,0.0,0.0,,,
2019,010348,HIGH,56.0,4.0,0.0714,1.0,0.0179,,,
2019,010350,HIGH,56.0,15.0,0.2679,0.0,0.0,,,
2019,010351,HIGH,36.0,3.0,0.0833,0.0,0.0,,,
2019,010353,NEITHER,45.0,7.0,0.1556,0.0,0.0,,,
2019,010354,HIGH,47.0,18.0,0.38299999999999995,7.0,0.1489,,,
2019,010357,HIGH,44.0,12.0,0.2727,1.0,0.0227,,,
2019,010358,HIGH,52.0,20.0,0.3846,3.0,0.0577,,,
2019,010360,HIGH,69.0,7.0,0.1014,2.0,0.028999999999999998,,,
2019,010362,NEITHER,40.0,8.0,0.2,0.0,0.0,,,
2019,010364,HIGH,34.0,4.0,0.1176,0.0,0.0,,,
2019,010372,HIGH,26.0,5.0,0.1923,1.0,0.0385,,,
2019,010374,HIGH,47.0,11.0,0.23399999999999999,0.0,0.0,,,
2019,010378,HIGH,21.0,6.0,0.2857,1.0,0.0476,,,
2019,010380,NEITHER,47.0,10.0,0.2128,1.0,0.0213,,,
2019,010384,NEITHER,39.0,4.0,0.1026,0.0,0.0,,,
2019,010388,LOW,84.0,11.0,0.131,2.0,0.0238,,,
2019,010390,NEITHER,44.0,6.0,0.1364,0.0,0.0,,,
2019,010392,NEITHER,24.0,3.0,0.125,0.0,0.0,,,
2019,010394,NEITHER,64.0,11.0,0.1719,0.0,0.0,,,
2019,010396,NEITHER,74.0,9.0,0.1216,2.0,0.027000000000000003,,,
2019,010400,LOW,65.0,8.0,0.1231,0.0,0.0,,,
2019,010403,LOW,52.0,7.0,0.1346,2.0,0.0385,,,
2019,010406,NEITHER,41.0,5.0,0.122,0.0,0.0,,,
2019,01B000,LOW,54.0,18.0,0.3333,0.0,0.0,,,
2019,01C000,LOW,40.0,9.0,0.225,0.0,0.0,,,
2019,01D000,LOW,29.0,7.0,0.2414,0.0,0.0,,,
2019,020302,NEITHER,96.0,8.0,0.0833,0.0,0.0,,,
2019,020303,NEITHER,8.0,0.0,0.0,0.0,0.0,,,
2019,020304,LOW,29.0,0.0,0.0,0.0,0.0,,,
2019,020306,NEITHER,37.0,1.0,0.027000000000000003,0.0,0.0,,,
2019,020308,NEITHER,20.0,0.0,0.0,0.0,0.0,,,
2019,020316,NEITHER,35.0,6.0,0.1714,0.0,0.0,,,
2019,020320,NEITHER,17.0,0.0,0.0,0.0,0.0,,,
2019,020324,NEITHER,14.0,0.0,0.0,0.0,0.0,,,
2019,020328,HIGH,34.0,3.0,0.0882,0.0,0.0,,,
2019,020330,NEITHER,38.0,4.0,0.1053,0.0,0.0,,,
2019,020332,NEITHER,21.0,1.0,0.0476,0.0,0.0,,,
2019,030304,HIGH,40.0,2.0,0.05,1.0,0.025,,,
2019,030308,HIGH,20.0,1.0,0.05,0.0,0.0,,,
2019,030316,HIGH,14.0,3.0,0.2143,0.0,0.0,,,
2019,030320,HIGH,48.0,6.0,0.125,0.0,0.0,,,
2019,040304,NEITHER,14.0,4.0,0.2857,0.0,0.0,,,
2019,040305,HIGH,7.0,1.0,0.1429,0.0,0.0,,,
2019,040306,NEITHER,58.0,16.0,0.2759,1.0,0.0172,,,
2019,040308,NEITHER,16.0,4.0,0.25,0.0,0.0,,,
2019,040309,HIGH,41.0,17.0,0.4146,1.0,0.0244,,,
2019,040311,HIGH,33.0,10.0,0.303,0.0,0.0,,,
2019,040316,HIGH,25.0,3.0,0.12,0.0,0.0,,,
2019,040324,HIGH,18.0,1.0,0.0556,0.0,0.0,,,
2019,040328,HIGH,33.0,5.0,0.1515,0.0,0.0,,,
2019,040330,HIGH,13.0,2.0,0.1538,0.0,0.0,,,
2019,050302,NEITHER,62.0,8.0,0.129,0.0,0.0,,,
2019,050303,NEITHER,4.0,2.0,0.5,0.0,0.0,,,
2019,050305,NEITHER,39.0,2.0,0.0513,0.0,0.0,,,
2019,050310,NEITHER,40.0,0.0,0.0,0.0,0.0,,,
2019,050330,NEITHER,48.0,4.0,0.0833,0.0,0.0,,,
2019,050335,NEITHER,43.0,5.0,0.1163,0.0,0.0,,,
2019,060302,NEITHER,48.0,8.0,0.1667,1.0,0.0208,,,
2019,060304,NEITHER,16.0,2.0,0.125,0.0,0.0,,,
2019,060310,NEITHER,18.0,2.0,0.1111,0.0,0.0,,,
2019,060316,NEITHER,18.0,1.0,0.0556,0.0,0.0,,,
2019,060318,NEITHER,27.0,2.0,0.0741,0.0,0.0,,,
2019,060322,NEITHER,18.0,1.0,0.0556,0.0,0.0,,,
2019,060328,NEITHER,34.0,6.0,0.1765,0.0,0.0,,,
2019,060332,NEITHER,12.0,3.0,0.25,0.0,0.0,,,
2019,060334,NEITHER,2.0,0.0,0.0,0.0,0.0,,,
2019,060700,LOW,47.0,8.0,0.1702,1.0,0.0213,,,
2019,060701,NEITHER,47.0,8.0,0.1702,1.0,0.0213,,,
2019,06A000,HIGH,7.0,4.0,0.5714,0.0,0.0,,,
2019,06B000,HIGH,18.0,6.0,0.3333,0.0,0.0,,,
2019,070302,NEITHER,46.0,6.0,0.1304,0.0,0.0,,,
2019,070308,LOW,41.0,0.0,0.0,0.0,0.0,,,
2019,070310,HIGH,9.0,2.0,0.2222,0.0,0.0,,,
2019,070311,LOW,7.0,0.0,0.0,0.0,0.0,,,
2019,070325,NEITHER,26.0,7.0,0.2692,1.0,0.0385,,,
2019,070326,NEITHER,38.0,4.0,0.1053,0.0,0.0,,,
2019,070327,NEITHER,39.0,6.0,0.1538,0.0,0.0,,,
2019,070328,NEITHER,37.0,2.0,0.0541,0.0,0.0,,,
2019,070329,NEITHER,36.0,3.0,0.0833,1.0,0.0278,,,
2019,070330,LOW,36.0,5.0,0.1389,0.0,0.0,,,
2019,070338,NEITHER,50.0,8.0,0.16,1.0,0.02,,,
2019,070339,NEITHER,32.0,5.0,0.1563,1.0,0.0313,,,
2019,070340,NEITHER,18.0,4.0,0.2222,1.0,0.0556,,,
2019,070342,NEITHER,63.0,7.0,0.1111,4.0,0.0635,,,
2019,07A000,LOW,41.0,3.0,0.0732,0.0,0.0,,,
2019,080311,HIGH,8.0,1.0,0.125,0.0,0.0,,,
2019,080312,HIGH,45.0,13.0,0.2889,1.0,0.0222,,,
2019,080314,HIGH,31.0,9.0,0.2903,1.0,0.0323,,,
2019,080348,HIGH,10.0,3.0,0.3,0.0,0.0,,,
2019,080356,HIGH,19.0,2.0,0.1053,1.0,0.0526,,,
2019,080360,HIGH,15.0,1.0,0.0667,0.0,0.0,,,
2019,080362,HIGH,29.0,2.0,0.069,0.0,0.0,,,
2019,08A000,HIGH,12.0,1.0,0.0833,0.0,0.0,,,
2019,090315,NEITHER,19.0,0.0,0.0,0.0,0.0,,,
2019,090317,HIGH,32.0,2.0,0.0625,0.0,0.0,,,
2019,090318,HIGH,19.0,3.0,0.1579,0.0,0.0,,,
2019,090320,HIGH,18.0,2.0,0.1111,0.0,0.0,,,
2019,090324,HIGH,26.0,4.0,0.1538,0.0,0.0,,,
2019,090328,HIGH,14.0,6.0,0.4286,0.0,0.0,,,
2019,090330,NEITHER,46.0,6.0,0.1304,0.0,0.0,,,
2019,090332,HIGH,27.0,5.0,0.1852,0.0,0.0,,,
2019,090333,HIGH,37.0,4.0,0.1081,0.0,0.0,,,
2019,090352,HIGH,14.0,0.0,0.0,0.0,0.0,,,
2019,090365,HIGH,19.0,2.0,0.1053,0.0,0.0,,,
2019,090368,NEITHER,51.0,6.0,0.1176,0.0,0.0,,,
2019,090376,HIGH,5.0,1.0,0.2,0.0,0.0,,,
2019,09A000,HIGH,21.0,1.0,0.0476,0.0,0.0,,,
2019,09B000,HIGH,31.0,10.0,0.3226,0.0,0.0,,,
2019,100302,NEITHER,69.0,9.0,0.1304,0.0,0.0,,,
2019,100304,NEITHER,42.0,4.0,0.0952,0.0,0.0,,,
2019,100307,LOW,14.0,0.0,0.0,0.0,0.0,,,
2019,100308,HIGH,22.0,2.0,0.0909,0.0,0.0,,,
2019,100309,NEITHER,42.0,4.0,0.0952,0.0,0.0,,,
2019,100310,HIGH,42.0,4.0,0.0952,0.0,0.0,,,
2019,100316,NEITHER,63.0,6.0,0.0952,0.0,0.0,,,
2019,100320,HIGH,48.0,8.0,0.1667,0.0,0.0,,,
2019,100326,NEITHER,84.0,9.0,0.1071,1.0,0.0119,,,
2019,100332,NEITHER,46.0,6.0,0.1304,0.0,0.0,,,
2019,100334,NEITHER,80.0,6.0,0.075,0.0,0.0,,,
2019,100335,NEITHER,49.0,8.0,0.1633,0.0,0.0,,,
2019,100336,NEITHER,38.0,2.0,0.0526,0.0,0.0,,,
2019,100338,HIGH,55.0,8.0,0.1455,1.0,0.0182,,,
2019,100339,NEITHER,42.0,9.0,0.2143,0.0,0.0,,,
2019,100340,NEITHER,40.0,1.0,0.025,0.0,0.0,,,
2019,100342,NEITHER,46.0,11.0,0.2391,0.0,0.0,,,
2019,100344,NEITHER,35.0,1.0,0.0286,0.0,0.0,,,
2019,100348,NEITHER,101.0,10.0,0.099,0.0,0.0,,,
2019,10A000,LOW,50.0,19.0,0.38,0.0,0.0,,,
2019,10B000,LOW,18.0,4.0,0.2222,0.0,0.0,,,
2019,110303,HIGH,22.0,4.0,0.1818,0.0,0.0,,,
2019,110304,NEITHER,82.0,10.0,0.122,0.0,0.0,,,
2019,110306,NEITHER,42.0,5.0,0.11900000000000001,0.0,0.0,,,
2019,110308,NEITHER,19.0,2.0,0.1053,0.0,0.0,,,
2019,110318,NEITHER,18.0,1.0,0.0556,0.0,0.0,,,
2019,110320,NEITHER,37.0,3.0,0.0811,0.0,0.0,,,
2019,110322,NEITHER,18.0,2.0,0.1111,0.0,0.0,,,
2019,110323,LOW,5.0,0.0,0.0,0.0,0.0,,,
2019,110324,HIGH,34.0,7.0,0.2059,0.0,0.0,,,
