year,agency_code,expenditure_category,state_funds,federal_funds,local_funds,total_funds,state_ppe,federal_ppe,local_ppe,total_ppe,ADM
2019,010303,SALARIES,656068.23,13322.02,130243.15,799633,2942.01,59.74,584.05,3585.8,223
2019,010303,EMPLOYEE BENEFITS,259306.63,1184.13,39254.69,299744,1162.81,5.31,176.03,1344.15,223
2019,010303,PURCHASED SERVICES,20172.58,8841.95,33940.6,62953,90.46,39.65,152.2,282.31,223
2019,010303,SUPPLIES & MATERIALS,113032.01,6654.32,10802.12,130488,506.87,29.84,48.44,585.15,223
2019,010303,INSTRUCTIONAL EQUIP.,6134.73,1973.55,722.52,8829,27.51,8.85,3.24,39.6,223
2019,010303,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,223
2019,010303,CENTRAL EXPENSE,31304.74,4720.91,62765.58,98789,140.38,21.17,281.46,443.01,223
2019,010303,TOTAL,1086016.0,36694.0,277726.0,1400436,4870.04,164.56,1245.42,6280.02,223
2019,010304,SALARIES,2592673.05,141999.55,475651.0,3210323,4285.41,234.71,786.2,5306.32,605
2019,010304,EMPLOYEE BENEFITS,933835.65,47577.2,140160.35,1121572,1543.53,78.64,231.67,1853.84,605
2019,010304,PURCHASED SERVICES,54728.3,26323.55,166792.45,247843,90.46,43.51,275.69,409.66,605
2019,010304,SUPPLIES & MATERIALS,74735.65,163422.6,55847.55,294004,123.53,270.12,92.31,485.96,605
2019,010304,INSTRUCTIONAL EQUIP.,16643.55,9510.6,2776.95,28929,27.51,15.72,4.59,47.82,605
2019,010304,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,605
2019,010304,CENTRAL EXPENSE,84929.9,12807.85,170283.3,268019,140.38,21.17,281.46,443.01,605
2019,010304,TOTAL,3757543.0,401638.0,1011509.0,5170690,6210.82,663.87,1671.92,8546.61,605
2019,010308,SALARIES,2866081.5,95891.59,478403.59,3440375,4675.5,156.43,780.43,5612.36,613
2019,010308,EMPLOYEE BENEFITS,1089313.26,34634.5,147359.07,1271306,1777.02,56.5,240.39,2073.91,613
2019,010308,PURCHASED SERVICES,55451.98,28786.48,163548.4,247785,90.46,46.96,266.8,404.22,613
2019,010308,SUPPLIES & MATERIALS,44037.92,131678.53,73621.3,249336,71.84,214.81,120.1,406.75,613
2019,010308,INSTRUCTIONAL EQUIP.,16863.63,6559.1,2206.8,25628,27.51,10.7,3.6,41.81,613
2019,010308,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,613
2019,010308,CENTRAL EXPENSE,86052.94,12977.21,172534.98,271563,140.38,21.17,281.46,443.01,613
2019,010308,TOTAL,4157797.0,310525.0,1037671.0,5505993,6782.71,506.57,1692.78,8982.06,613
2019,010310,SALARIES,2576146.38,700710.36,985991.24,4262847,3398.61,924.42,1300.78,5623.81,758
2019,010310,EMPLOYEE BENEFITS,998051.02,262874.4,314183.42,1575108,1316.69,346.8,414.49,2077.98,758
2019,010310,PURCHASED SERVICES,116186.24,92028.78,366720.4,574934,153.28,121.41,483.8,758.49,758
2019,010310,SUPPLIES & MATERIALS,47920.76,478548.14,234146.2,760614,63.22,631.33,308.9,1003.45,758
2019,010310,INSTRUCTIONAL EQUIP.,20852.58,8588.14,7852.88,37292,27.51,11.33,10.36,49.2,758
2019,010310,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,758
2019,010310,CENTRAL EXPENSE,106408.04,16046.86,213346.68,335800,140.38,21.17,281.46,443.01,758
2019,010310,TOTAL,3865563.0,1558794.0,2122238.0,7546595,5099.69,2056.46,2799.79,9955.94,758
2019,010312,SALARIES,3349609.0,243387.06,633016.28,4226012,4563.5,331.59,862.42,5757.51,734
2019,010312,EMPLOYEE BENEFITS,1312120.42,87081.76,194906.36,1594107,1787.63,118.64,265.54,2171.81,734
2019,010312,PURCHASED SERVICES,66544.44,32523.54,196066.08,295133,90.66,44.31,267.12,402.09,734
2019,010312,SUPPLIES & MATERIALS,85540.36,159307.36,71946.68,316793,116.54,217.04,98.02,431.6,734
2019,010312,INSTRUCTIONAL EQUIP.,20192.34,5820.62,2238.7,28250,27.51,7.93,3.05,38.49,734
2019,010312,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,734
2019,010312,CENTRAL EXPENSE,103038.92,15538.78,206591.64,325167,140.38,21.17,281.46,443.01,734
2019,010312,TOTAL,4937043.0,543656.0,1304763.0,6785462,6726.22,740.68,1777.61,9244.51,734
2019,010320,SALARIES,2155353.6,130169.7,316860.6,2602382,5825.28,351.81,856.38,7033.47,370
2019,010320,EMPLOYEE BENEFITS,776948.2,42513.0,88851.8,908312,2099.86,114.9,240.14,2454.9,370
2019,010320,PURCHASED SERVICES,33470.2,15421.6,110430.2,159321,90.46,41.68,298.46,430.6,370
2019,010320,SUPPLIES & MATERIALS,40914.6,89884.1,50926.8,181724,110.58,242.93,137.64,491.15,370
2019,010320,INSTRUCTIONAL EQUIP.,10178.7,16402.1,3792.5,30372,27.51,44.33,10.25,82.09,370
2019,010320,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,370
2019,010320,CENTRAL EXPENSE,51940.6,7832.9,104140.2,163912,140.38,21.17,281.46,443.01,370
