year,agency_code,category_code,pct_ib_pass,pct_ib_participation
2019,010396,H,0.5,0.05
2019,130314,H,0.9454545455,0.05
2019,181322,H,0.5862068965999999,0.05
2019,260427,H,0.95,0.05
2019,320325,H,0.5526315789,0.0589147287
2019,340486,H,0.6933333333,0.0547045952
2019,410394,H,0.8103448276,0.104756171
2019,410406,H,0.8021978022,0.07081712059999999
2019,410508,H,0.814229249,0.1453187823
2019,410544,H,0.4556962025,0.06345381530000001
2019,490362,H,0.95,0.1128818061
2019,510399,H,0.8421052631999999,0.05
2019,530336,H,0.85,0.05
2019,540315,H,0.1666666667,0.05
2019,600377,H,0.6744186047,0.10575504179999999
2019,600405,H,0.5333333333,0.05
2019,600466,H,0.7593123209,0.10512048189999999
2019,600480,H,0.7217391304,0.0535631113
2019,600576,H,0.45,0.05
2019,640361,H,0.95,0.05
2019,650342,H,0.8734177215000001,0.05
2019,670324,H,0.5849056604,0.05
2019,680310,H,0.7291666667,0.05
2019,790366,H,0.3191489362,0.07320872269999999
2019,900393,H,0.95,0.05
2019,920348,H,0.9300699301,0.0718592965
2019,920412,H,0.95,0.05
2019,920436,H,0.6144578313,0.0717682663
2019,920500,H,0.7747252747,0.07895878519999999
2019,980336,H,0.95,0.05
