year,agency_code,category_code,amount
2019,00B000,A,668026
2019,010310,M,242739
2019,010358,E,209848
2019,040305,T,24998
2019,06A000,A,6907
2019,09A000,T,61178
2019,100308,T,43746
2019,110303,H,47035
2019,120308,T,32891
2019,130333,T,37496
2019,140306,T,20722
2019,180323,A,14801
2019,230330,T,47364
2019,240304,M,39799
2019,24B000,T,33549
2019,260374,H,44732
2019,295300,E,151301
2019,320306,M,175969
2019,320322,H,54600
2019,320338,M,152945
2019,320339,E,137815
2019,320341,T,13486
2019,320400,E,120383
2019,330312,E,93741
2019,330332,M,40128
2019,330354,E,166102
2019,340308,E,157221
2019,340330,H,212479
2019,340336,H,54929
2019,340351,E,68743
2019,340376,E,206230
2019,340385,T,11841
2019,340424,E,76637
2019,340427,A,31905
2019,340452,M,111831
2019,340490,E,149985
2019,340492,M,161168
2019,34Z000,E,184850
2019,360372,T,38483
2019,410328,E,136171
2019,410364,E,131895
2019,410366,E,187810
2019,410398,A,95714
2019,410402,M,213137
2019,410403,E,97359
2019,410415,M,156892
2019,410583,E,79597
2019,410592,M,113804
2019,420324,M,73348
2019,422315,H,63481
2019,440326,H,39470
2019,450343,T,62165
2019,490350,A,41114
2019,500324,A,30589
2019,510390,M,171693
2019,530306,T,16775
2019,540318,A,21379
2019,540338,E,76308
2019,560350,T,35523
2019,580344,T,80255
2019,590393,M,91767
2019,600308,E,169391
2019,600364,H,54929
2019,600397,H,590731
2019,600405,H,538105
2019,600428,M,344703
2019,600439,T,71374
2019,600461,A,29273
2019,600489,E,221689
2019,600515,I,130579
2019,600520,M,193073
2019,60U000,H,79268
2019,60V000,T,91767
2019,61L000,H,49008
2019,61U000,M,61178
2019,620310,T,13814
2019,640302,E,124001
2019,640326,E,118080
2019,640334,M,90452
2019,640335,M,121698
2019,640396,E,137815
2019,650355,A,35852
2019,660336,H,113804
2019,67B000,I,55587
2019,74B000,I,85847
2019,74Z000,E,48022
2019,770342,T,22695
2019,780341,M,132224
2019,780410,M,64467
2019,800308,T,22037
2019,800346,E,161826
2019,800363,M,182877
2019,800373,E,164786
2019,800377,M,158208
2019,810386,T,36510
2019,830316,T,13486
2019,850324,T,27629
2019,880320,H,28287
2019,900365,T,20064
2019,910316,M,159524
2019,920324,T,16117
2019,920508,I,33220
2019,920556,H,91438
2019,92Q000,E,41114
2019,93A000,A,45061
2019,93L000,H,62494
2019,960318,E,139789
2019,960326,M,103608
2019,960390,E,191099
