year,agency_code,category_code,crime,short_term,long_term,expulsion
2017,00A000,A,0.0,0.0,0.0,0.0
2017,00B000,A,0.0,0.0,0.0,0.0
2017,10303,H,0.66,0.66,0.0,0.0
2017,10304,E,0.17,2.43,0.0,0.0
2017,10308,E,0.0,3.44,0.0,0.0
2017,10310,M,2.16,44.61,0.0,0.0
2017,10311,H,,,,
2017,10312,E,0.14,4.56,0.0,0.0
2017,10320,E,0.29,11.18,0.0,0.0
2017,10324,H,0.83,11.57,0.0,0.0
2017,10326,E,1.3,17.66,0.0,0.0
2017,10328,E,0.54,0.9,0.0,0.0
2017,10340,E,0.14,2.9,0.0,0.0
2017,10346,E,0.0,1.83,0.0,0.0
2017,10347,E,1.0,12.3,0.0,0.0
2017,10348,H,0.62,13.58,0.25,0.0
2017,10350,M,3.8,58.7,0.0,0.0
2017,10351,E,0.42,9.87,0.0,0.0
2017,10353,M,0.47,14.49,0.0,0.0
2017,10354,E,1.3,5.52,0.0,0.0
2017,10357,E,0.4,20.75,0.0,0.0
2017,10358,E,0.48,8.83,0.0,0.0
2017,10360,H,1.78,19.29,0.11,0.0
2017,10362,E,0.0,4.03,0.0,0.0
2017,10364,E,0.54,10.84,0.0,0.0
2017,10372,E,1.2,2.41,0.0,0.0
2017,10374,E,0.5,11.43,0.0,0.0
2017,10378,A,16.0,122.0,0.0,0.0
2017,10380,E,0.0,14.16,0.0,0.0
2017,10384,E,0.0,0.0,0.0,0.0
2017,10388,H,0.86,9.86,0.2,0.0
2017,10390,M,0.13,10.7,0.0,0.0
2017,10392,E,0.35,5.94,0.0,0.0
2017,10394,M,1.07,34.18,0.13,0.0
2017,10396,H,0.44,20.35,0.0,0.0
2017,10400,H,2.23,12.08,0.08,0.0
2017,10403,M,1.44,9.65,0.22,0.0
2017,10406,M,0.19,5.42,0.0,0.0
2017,010LEA,A,16.0,122.0,0.0,0.0
2017,010LEA,E,0.43,7.5,0.0,0.0
2017,010LEA,H,1.12,13.71,0.1,0.0
2017,010LEA,M,1.34,25.21,0.06,0.0
2017,01B000,A,0.0,16.45,0.0,0.0
2017,01C000,A,0.0,0.0,0.0,0.0
2017,01D000,T,0.0,2.88,0.0,0.0
2017,20302,H,2.29,12.23,0.0,0.0
2017,20303,H,0.0,0.0,0.0,0.0
2017,20304,E,0.0,0.67,0.0,0.0
2017,20306,M,0.16,9.0,0.0,0.0
2017,20308,E,0.33,4.92,0.0,0.0
2017,20316,E,0.21,4.12,0.0,0.0
2017,20320,E,0.0,7.94,0.0,0.0
2017,20324,E,0.42,0.42,0.0,0.0
2017,20328,E,0.0,6.67,0.0,0.0
