year,agency_code,category_code,agency_level,lea_code,designation_type,name,county,street_addr,stree_addr2,city,state,zip,phone,grade_span,school_type,calendar_type,url,super_name,title_i,esea,stem,purple_star,street_addr2
2019,00A000,A,SCH,CH,C,North Carolina Cyber Academy,Durham,2800 Meridian Parkway,S,Durham,NC,27713.0,984-262-9237,KG:12,Regular School,Traditional,http://www.myncca.com,Dr Nathan Currie,Y,,,,Suite 150
2019,00B000,A,SCH,CH,C,NC Virtual Academy,Durham,4220 NC Highway 55,S,Durham,NC,27713.0,919-346-0121,KG:12,Regular School,Traditional,http://ncva.k12.com/,Joel Medley,Y,,,,Suite 130
2019,010303,H,SCH,010LEA,P,ABSS Early College at ACC,Alamance,1247 Jimmie Kerr Road,,Graham,NC,27253.0,336-506-4001,9:13,Regular School,Traditional,http://amc.abss.k12.nc.us,,,,,,
2019,010304,E,SCH,010LEA,P,Alexander Wilson Elementary,Alamance,2518 NC 54,,Graham,NC,27253.0,336-578-1366,PK:05,Regular School,Traditional,http://awe.abss.k12.nc.us,,,,,,
2019,010308,E,SCH,010LEA,P,Altamahaw-Ossipee Elementary,Alamance,2832 N NC 87,,Elon,NC,27244.0,336-538-6030,KG:05,Regular School,Traditional,http://aoe.abss.k12.nc.us,,,,,,
2019,010310,M,SCH,010LEA,P,Broadview Middle,Alamance,2229 Broadview Drive,,Burlington,NC,27217.0,336-570-6195,6:08,Regular School,Traditional,http://brm.abss.k12.nc.us/,,Y,,,,
2019,010311,H,SCH,010LEA,P,Career and Technical Education Center,Alamance,2550 Buckingham Road,,Burlington,NC,27217.0,336-570-6092,9:12,CTE School,,,,,,,,
2019,010312,E,SCH,010LEA,P,Highland Elementary,Alamance,3720 Bonnar Bridge Parkway,,Burlington,NC,27215.0,336-538-8700,KG:05,Regular School,Traditional,http://hle.abss.k12.nc.us,,,,,,
2019,010320,E,SCH,010LEA,P,E M Yoder Elementary,Alamance,301 N Charles Street,,Mebane,NC,27302.0,919-563-3722,PK:05,Regular School,Traditional,http://eye.abss.k12.nc.us,,,,,,
2019,010324,H,SCH,010LEA,P,Eastern Alamance High,Alamance,4040 Mebane Rogers,,Mebane,NC,27302.0,919-563-5991,9:12,Regular School,Traditional,http://eah.abss.k12.nc.us,,,,,,
2019,010326,E,SCH,010LEA,P,Eastlawn Elementary,Alamance,502 N Graham Hopedale Road,,Burlington,NC,27217.0,336-570-6180,P3:05,Regular School,Year Round,http://eae.abss.k12.nc.us,,Y,,,,
2019,010328,E,SCH,010LEA,P,Edwin M Holt Elementary,Alamance,4751 S NC 62,,Burlington,NC,27215.0,336-570-6420,KG:05,Regular School,Traditional,http://ehe.abss.k12.nc.us,,,,,,
2019,010340,E,SCH,010LEA,P,Elon Elementary,Alamance,730 Walker Road,,Elon,NC,27244.0,336-538-6000,KG:05,Regular School,Traditional,http://ece.abss.k12.nc.us,,,,,,
2019,010346,E,SCH,010LEA,P,B. Everett Jordan Elementary,Alamance,5827 Church Road,,Graham,NC,27253.0,336-376-3673,KG:05,Regular School,Traditional,http://bje.abss.k12.nc.us,,Y,,,,
2019,010347,E,SCH,010LEA,P,Audrey W. Garrett Elementary,Alamance,3224 Old Hillsborough Road,,Mebane,NC,27302.0,919-563-2088,P3:05,Regular School,Traditional,http://age.abss.k12.nc.us,,Y,,,,
2019,010348,H,SCH,010LEA,P,Graham High,Alamance,903 Trollinger Road,,Graham,NC,27253.0,336-570-6440,9:12,Regular School,Traditional,http://grh.abss.k12.nc.us/,,,,,,
2019,010350,M,SCH,010LEA,P,Graham Middle,Alamance,311 E Pine Street,,Graham,NC,27253.0,336-570-6460,6:08,Regular School,Year Round,http://grm.abss.k12.nc.us/,,Y,,,,
2019,010351,E,SCH,010LEA,P,Grove Park Elementary,Alamance,141 Trail One,,Burlington,NC,27215.0,336-570-6115,PK:05,Regular School,Traditional,http://gpe.abss.k12.nc.us,,Y,,,,
2019,010353,M,SCH,010LEA,P,Hawfields Middle,Alamance,1951 S NC 119,,Mebane,NC,27302.0,919-563-5303,6:08,Regular School,Traditional,http://ham.abss.k12.nc.us,,,,,,
2019,010354,E,SCH,010LEA,P,Harvey R Newlin Elementary,Alamance,316 Carden Street,,Burlington,NC,27215.0,336-570-6125,PK:05,Regular School,Traditional,http://hne.abss.k12.nc.us/,,Y,,,,
2019,010357,E,SCH,010LEA,P,Haw River Elementary,Alamance,701 E Main Street,,Haw River,NC,27258.0,336-578-0177,PK:05,Regular School,Year Round,http://hre.abss.k12.nc.us,,Y,,,,
2019,010358,E,SCH,010LEA,P,Hillcrest Elementary,Alamance,1714 W Davis Street,,Burlington,NC,27215.0,336-570-6120,PK:05,Regular School,Traditional,http://hie.abss.k12.nc.us/,,Y,,,,
2019,010360,H,SCH,010LEA,P,Hugh M Cummings High,Alamance,2200 N Mebane Street,,Burlington,NC,27217.0,336-570-6100,9:12,Regular School,Traditional,http://hch.abss.k12.nc.us/,,,,,,
2019,010362,E,SCH,010LEA,P,Marvin B Smith Elementary,Alamance,2235 Delaney Drive,,Burlington,NC,27215.0,336-570-6140,PK:05,Regular School,Traditional,http://mse.abss.k12.nc.us/,,,,,,
2019,010364,E,SCH,010LEA,P,North Graham Elementary,Alamance,1025 Trollinger Road,,Graham,NC,27253.0,336-578-2272,P2:05,Regular School,Year Round,http://nge.abss.k12.nc.us,,Y,,,,
2019,010372,E,SCH,010LEA,P,Pleasant Grove Elementary,Alamance,2847 Pleasant Grv Sch Road,,Burlington,NC,27217.0,336-421-3701,PK:05,Regular School,Traditional,http://pge.abss.k12.nc.us/,,Y,,,,
2019,010374,E,SCH,010LEA,P,R Homer Andrews Elementary,Alamance,2630 Buckingham Road,,Burlington,NC,27217.0,336-570-6170,PK:05,Regular School,Traditional,http://rae.abss.k12.nc.us/,,Y,,,,
2019,010378,A,SCH,010LEA,P,Ray Street Academy,Alamance,609 Ray Street,,Graham,NC,27253.0,336-570-6644,KG:12,Alternative School,Traditional,http://.abss.k12.nc.us,,,,,,
2019,010380,E,SCH,010LEA,P,South Graham Elementary,Alamance,320 Ivey Road,,Graham,NC,27253.0,336-570-6520,P2:05,Regular School,Year Round,http://sge.abss.k12.nc.us,,Y,,,,
2019,010384,E,SCH,010LEA,P,South Mebane Elementary,Alamance,600 S 3rd Street,,Mebane,NC,27302.0,919-563-6905,KG:05,Regular School,Traditional,http://sme.abss.k12.nc.us,,,,,,
2019,010388,H,SCH,010LEA,P,Southern Alamance High,Alamance,631 Southern High Road,,Graham,NC,27253.0,336-570-6400,9:12,Regular School,Traditional,http://sah.abss.k12.nc.us/,,,,,,
2019,010390,M,SCH,010LEA,P,Southern Alamance Middle,Alamance,771 Southern High Road,,Graham,NC,27253.0,336-570-6500,6:08,Regular School,Traditional,http://sam.abss.k12.nc.us,,,,,,
2019,010392,E,SCH,010LEA,P,Sylvan Elementary,Alamance,7718 Sylvan Road,,Snow Camp,NC,27349.0,336-376-3350,PK:05,Regular School,Traditional,http://sye.abss.k12.nc.us/,,Y,,,,
2019,010394,M,SCH,010LEA,P,Turrentine Middle,Alamance,1710 Edgewood Avenue,,Burlington,NC,27215.0,336-570-6150,6:08,Regular School,Traditional,http://tum.abss.k12.nc.us/,,Y,,,,
2019,010396,H,SCH,010LEA,P,Walter M Williams High,Alamance,1307 S Church Street,,Burlington,NC,27215.0,336-570-6161,9:12,Regular School,Traditional,http://wwh.abss.k12.nc.us/,,,,,,
2019,010400,H,SCH,010LEA,P,Western Alamance High,Alamance,1731 N NC 87,,Elon,NC,27244.0,336-538-6020,9:12,Regular School,Traditional,http://wah.abss.k12.nc.us/,,,,,,
2019,010403,M,SCH,010LEA,P,Western Alamance Middle,Alamance,2100 Eldon Drive,,Elon,NC,27244.0,336-538-6010,6:08,Regular School,Traditional,http://wam.abss.k12.nc.us/,,,,,,
2019,010406,M,SCH,010LEA,P,Woodlawn Middle,Alamance,3970 Mebane Rogers Road,,Mebane,NC,27302.0,919-563-3222,6:08,Regular School,Traditional,http://wom.abss.k12.nc.us/,,,,,,
2019,01B000,A,SCH,CH,C,River Mill Academy,Alamance,235 Cheeks Lane,,Graham,NC,27253.0,336-229-0909,KG:12,Regular School,Traditional,http://www.rivermill-academy.org,Mr Jeffrey Dishmon,,,,,
2019,01C000,A,SCH,CH,C,Clover Garden,Alamance,2454 Altamahaw Union Ridge Roa,,Burlington,NC,27217.0,336-586-9440,KG:12,Regular School,Traditional,http://www.cgsnc.org,Mrs Heather Vereyken,Y,,,,
2019,01D000,A,SCH,CH,C,The Hawbridge School,Alamance,1735 Saxapahaw Bethlehem Churc,,Saxapahaw,NC,27340.0,336-376-1122,4:12,Regular School,Traditional,http://www.thehawbridgeschool.org,Ms Mya Ciccotti,,,,,
2019,020302,H,SCH,020LEA,P,Alexander Central High,Alexander,223 School Drive,,Taylorsville,NC,28681.0,828-632-7063,9:12,Regular School,Traditional,http://www.alexander.k12.nc.us/alexandercentral,,,,,,
2019,020303,H,SCH,020LEA,P,Alexander Early College,Alexander,230 Industrial Blvd,,Taylorsville,NC,28681.0,828-632-8221,9:11,Regular School,Modified,http://www.alexander.k12.nc.us/aec,,,,,,
2019,020304,E,SCH,020LEA,P,Bethlehem Elementary,Alexander,7900 NC Hwy 127,,Taylorsville,NC,28681.0,828-495-8198,P2:05,Regular School,Traditional,http://www.alexander.k12.nc.us/bethlehem,,Y,,,,
2019,020306,M,SCH,020LEA,P,East Alexander Middle,Alexander,1285 White Plains Road,,Hiddenite,NC,28636.0,828-632-7565,6:08,Regular School,Traditional,http://www.alexander.k12.nc.us/eastalexander,,,,,,
2019,020308,E,SCH,020LEA,P,Ellendale Elementary,Alexander,175 Ellendale Park Lane,,Taylorsville,NC,28681.0,828-632-4866,KG:05,Regular School,Traditional,http://www.alexander.k12.nc.us/ellendale,,Y,,,,
2019,020316,E,SCH,020LEA,P,Hiddenite Elementary,Alexander,374 Sulphur Springs Road,,Hiddenite,NC,28636.0,828-632-2503,PK:05,Regular School,Traditional,http://www.alexander.k12.nc.us/hiddenite,,Y,,,,
2019,020320,E,SCH,020LEA,P,Stony Point Elementary,Alexander,311 Stony Point School Road,,Stony Point,NC,28678.0,704-585-6981,P3:05,Regular School,Traditional,http://www.alexander.k12.nc.us/stonypoint,,Y,,,,
2019,020324,E,SCH,020LEA,P,Sugar Loaf Elementary,Alexander,3600 NC Hwy 16N,,Taylorsville,NC,28681.0,828-632-2192,KG:05,Regular School,Traditional,http://www.alexander.k12.nc.us/sugarloaf,,Y,,,,
