year,agency_code,subgroup,count,count_masked,den,den_masked,pct,pct_masked,masking
2019,010304,ALL,15,15,15,15,1.0,1.0,
2019,010320,ALL,24,24,24,24,1.0,1.0,
2019,010326,ALL,30,30,30,30,1.0,1.0,
2019,010347,ALL,9,10,9,10,1.0,,3.0
2019,010351,ALL,15,15,15,15,1.0,1.0,
2019,010354,ALL,29,29,29,29,1.0,1.0,
2019,010357,ALL,73,73,73,73,1.0,1.0,
2019,010358,ALL,26,26,26,26,1.0,1.0,
2019,010362,ALL,15,15,15,15,1.0,1.0,
2019,010364,ALL,10,10,10,10,1.0,1.0,
2019,010372,ALL,15,15,15,15,1.0,1.0,
2019,010374,ALL,15,15,15,15,1.0,1.0,
2019,010380,ALL,50,50,50,50,1.0,1.0,
2019,010392,ALL,15,15,15,15,1.0,1.0,
2019,020304,ALL,16,16,16,16,1.0,1.0,
2019,020316,ALL,16,16,16,16,1.0,1.0,
2019,020320,ALL,20,20,20,20,1.0,1.0,
2019,020328,ALL,16,16,16,16,1.0,1.0,
2019,020332,ALL,3,10,3,10,1.0,,3.0
2019,030308,ALL,18,18,18,18,1.0,1.0,
2019,030316,ALL,15,15,15,15,1.0,1.0,
2019,030320,ALL,47,47,47,47,1.0,1.0,
2019,050330,ALL,71,71,71,71,1.0,1.0,
2019,060304,ALL,14,14,14,14,1.0,1.0,
2019,060316,ALL,17,17,17,17,1.0,1.0,
2019,060322,ALL,14,14,14,14,1.0,1.0,
2019,060328,ALL,17,17,17,17,1.0,1.0,
2019,060332,ALL,11,11,11,11,1.0,1.0,
2019,070302,ALL,78,78,78,78,1.0,1.0,
2019,070326,ALL,37,37,37,37,1.0,1.0,
2019,070329,ALL,28,28,28,28,1.0,1.0,
2019,070340,ALL,18,18,18,18,1.0,1.0,
2019,080348,ALL,18,18,18,18,1.0,1.0,
2019,080356,ALL,18,18,18,18,1.0,1.0,
2019,080360,ALL,17,17,17,17,1.0,1.0,
2019,080362,ALL,46,46,46,46,1.0,1.0,
2019,090317,ALL,56,56,56,56,1.0,1.0,
2019,090318,ALL,32,32,32,32,1.0,1.0,
2019,090324,ALL,31,31,31,31,1.0,1.0,
2019,090328,ALL,17,17,17,17,1.0,1.0,
2019,090333,ALL,58,58,58,58,1.0,1.0,
2019,090352,ALL,17,17,17,17,1.0,1.0,
2019,100320,ALL,5,10,5,10,1.0,,3.0
2019,100338,ALL,6,10,6,10,1.0,,3.0
2019,100339,ALL,5,10,5,10,1.0,,3.0
2019,100342,ALL,6,10,6,10,1.0,,3.0
2019,111304,ALL,8,10,8,10,1.0,,3.0
2019,111306,ALL,10,10,10,10,1.0,1.0,
2019,111307,ALL,85,85,85,85,1.0,1.0,
2019,111332,ALL,10,10,10,10,1.0,1.0,
2019,120312,ALL,28,28,28,28,1.0,1.0,
2019,120316,ALL,18,18,18,18,1.0,1.0,
2019,120320,ALL,18,18,18,18,1.0,1.0,
2019,120324,ALL,32,32,32,32,1.0,1.0,
2019,120338,ALL,30,30,30,30,1.0,1.0,
2019,120340,ALL,19,19,19,19,1.0,1.0,
2019,120344,ALL,18,18,18,18,1.0,1.0,
2019,120352,ALL,7,10,7,10,1.0,,3.0
2019,120354,ALL,35,35,35,35,1.0,1.0,
2019,120360,ALL,18,18,18,18,1.0,1.0,
2019,120364,ALL,19,19,19,19,1.0,1.0,
2019,120368,ALL,34,34,34,34,1.0,1.0,
2019,120374,ALL,36,36,36,36,1.0,1.0,
2019,120380,ALL,33,33,33,33,1.0,1.0,
2019,120386,ALL,16,16,16,16,1.0,1.0,
2019,130321,ALL,18,18,18,18,1.0,1.0,
2019,130329,ALL,36,36,36,36,1.0,1.0,
