year,agency_code,category_code,pct_ready_kea
2019,010304,E,2.9
2019,010308,E,78.4
2019,010312,E,60.1
2019,010320,E,38.7
2019,010326,E,45.8
2019,010328,E,46.8
2019,010340,E,39.2
2019,010346,E,76.6
2019,010347,E,70.7
2019,010351,E,42.0
2019,010354,E,29.1
2019,010357,E,54.3
2019,010358,E,41.6
2019,010362,E,26.2
2019,010364,E,47.5
2019,010372,E,56.3
2019,010374,E,21.6
2019,010380,E,31.6
2019,010384,E,58.4
2019,010392,E,90.7
2019,020304,E,96.2
2019,020308,E,92.9
2019,020316,E,77.0
2019,020320,E,72.1
2019,020324,E,88.1
2019,020328,E,45.2
2019,020332,E,98.2
2019,030308,I,79.2
2019,030316,I,90.0
2019,030320,I,54.4
2019,040308,E,79.3
2019,040311,E,75.0
2019,040316,E,55.9
2019,040324,E,10.0
2019,040328,E,84.6
2019,050310,E,13.0
2019,050330,E,51.4
2019,050335,E,39.1
2019,060304,E,62.5
2019,060316,E,46.4
2019,060322,E,62.5
2019,060328,E,56.7
2019,060332,E,75.0
2019,070302,E,48.1
2019,070308,I,50.0
2019,070326,E,0.0
2019,070329,I,37.1
2019,070340,E,65.2
2019,070340,I,65.2
2019,070443,,0.0
2019,080348,E,0.0
2019,080356,E,0.0
2019,080360,E,65.4
2019,080362,E,61.5
2019,090317,E,42.5
2019,090318,E,30.2
2019,090324,E,76.9
2019,090333,E,51.6
2019,090352,E,45.9
2019,100302,E,19.3
2019,100304,E,3.6
2019,100310,E,0.0
2019,100320,E,28.6
2019,100336,E,44.0
2019,100338,E,1.3
2019,100339,E,44.3
2019,100340,E,18.8
2019,100342,E,33.3
2019,100344,I,2.4
2019,110308,E,0.0
2019,110320,E,53.2
2019,110324,E,31.8
2019,110332,E,65.9
2019,110348,E,29.9
2019,110356,E,74.8
2019,110366,E,48.2
2019,110368,E,31.8
2019,110370,E,53.1
2019,110372,E,11.8
2019,110376,E,51.1
2019,110379,E,55.7
2019,110384,E,32.5
2019,110388,E,37.1
2019,110408,E,48.5
2019,110410,E,38.5
2019,110412,E,39.0
2019,110422,E,53.6
2019,110432,E,66.0
2019,110436,E,26.5
2019,110444,E,72.0
2019,111304,E,77.1
2019,111306,E,86.4
2019,111307,E,37.5
2019,111312,E,95.3
2019,111332,E,84.6
2019,111360,E,89.8
2019,120312,E,16.7
2019,120316,E,19.4
2019,120320,E,16.4
2019,120324,E,52.5
2019,120338,E,21.4
2019,120340,E,51.4
2019,120344,E,59.5
2019,120354,E,49.1
2019,120360,E,58.5
2019,120364,E,44.1
2019,120368,E,48.7
2019,120374,E,58.2
2019,120380,E,46.1
2019,120386,E,31.1
2019,130304,E,44.9
2019,130308,E,8.6
2019,130309,E,75.5
2019,130311,E,67.1
2019,130312,E,55.1
2019,130319,E,36.3
2019,130321,E,38.3
2019,130322,E,47.4
2019,130325,E,40.0
2019,130330,E,29.8
2019,130331,E,89.5
2019,130336,E,25.1
2019,130338,E,89.2
2019,130344,E,46.3
2019,130345,E,63.0
2019,132308,E,29.6
2019,132312,E,34.7
2019,132314,E,73.9
2019,132328,E,30.8
2019,132332,E,39.6
2019,132336,E,46.7
2019,140304,E,60.4
2019,140308,I,51.3
2019,140312,E,86.6
2019,140316,E,18.5
2019,140324,E,82.3
2019,140340,E,75.9
2019,140344,I,27.3
2019,140352,E,70.1
2019,140360,I,60.0
2019,140372,E,94.7
2019,140376,I,5.9
2019,140384,E,66.1
2019,140388,E,46.9
2019,140396,E,75.0
2019,150308,E,67.1
2019,160304,E,53.8
2019,160304,I,53.8
2019,160306,E,55.2
2019,160308,E,43.9
2019,160316,E,95.2
2019,160316,I,95.2
2019,160322,E,55.8
2019,160324,E,89.5
2019,160332,I,86.4
2019,160352,E,55.3
2019,170334,E,39.1
2019,170339,E,0.0
2019,170342,E,34.6
2019,170344,E,3.6
2019,180304,E,32.1
2019,180312,E,44.7
2019,180316,E,62.3
2019,180324,E,46.3
2019,180324,M,46.3
2019,180326,E,95.2
2019,180326,M,95.2
2019,180332,E,27.1
2019,180336,E,36.2
2019,180343,E,74.1
2019,180344,E,78.7
2019,180356,E,45.8
2019,180360,E,69.3
