title1_type_flg,clp_ind_flg,focus_clp_flg,summer_program_flg,student_num,lea_avg_student_num,st_avg_student_num,Grad_project_status,stem_flg,Avg_Class_Size_Biology,Avg_Class_Size_EnglishII,Avg_Class_Size_MathI,Avg_Dist_Size_Biology,Avg_Dist_Size_EnglishII,Avg_Dist_Size_MathI,lea_total_expense_num,lea_salary_expense_pct,lea_benefits_expense_pct,lea_services_expense_pct,lea_supplies_expense_pct,lea_instruct_equip_exp_pct,lea_federal_perpupil_num,lea_local_perpupil_num,lea_state_perpupil_num,SPG Score,EVAAS Growth Score,Math I Score,English II Score,Biology Score,The ACT Score,ACT WorkKeys Score,Math Course Rigor Score,Cohort Graduation Rate Standard Score,sat_avg_score_num,lea_sat_avg_score_num,sat_participation_pct,lea_sat_participation_pct,ap_participation_pct,lea_ap_participation_pct,ap_pct_3_or_above,lea_ap_pct_3_or_above,lea_ib_pct_4_or_above,AP_Courses_Offered,total_specialized_courses,cte_courses,univ_college_courses,lea_total_specialized_courses,lea_cte_courses,lea_univ_college_courses,sch_percent_college_enrolled_16_mos_post_grad,avg_daily_attend_pct,crime_per_c_num,short_susp_per_c_num,long_susp_per_c_num,expelled_per_c_num,stud_internet_comp_num,lea_avg_daily_attend_pct,lea_crime_per_c_num,lea_short_susp_per_c_num,lea_long_susp_per_c_num,lea_expelled_per_c_num,lea_stud_internet_comp_num,st_avg_daily_attend_pct,st_crime_per_c_num,digital_media_pct,avg_age_media_collection,books_per_student,lea_books_per_student,wap_num,wap_per_classroom,lea_wap_num,lea_wap_per_classroom,flicensed_teach_pct,tchyrs_0thru3_pct,tchyrs_4thru10_pct,tchyrs_11plus_pct,nbpts_num,advance_dgr_pct,_1yr_tchr_trnovr_pct,highqual_class_pct,lea_flicensed_teach_pct,lea_tchyrs_0thru3_pct,lea_tchyrs_4thru10_pct,lea_tchyrs_11plus_pct,lea_nbpts_num,lea_advance_dgr_pct,lea_1yr_tchr_trnovr_pct,lea_emer_prov_teach_pct,lea_highqual_class_pct,lea_highqual_class_hp_pct,lea_highqual_class_lp_pct,lea_highqual_class_all_pct,lea_not_highqual_class_hp_pct,lea_not_highqual_class_lp_pct,st_tchyrs_0thru3_pct,Dist_Prin_Exp_Pct_0_3_Years,Dist_Prin_Exp_Pct_4_10_Years,Dist_Prin_Exp_Pct_10+_Years,ACT_Composite_Score_UNC_Min,ACT_Math_Benchmark,ACT_WorkKeys_Silver_Beyond,ACT_Writing_Benchmark,All_EOC_Subjects_CACR,EOC_Biology_CACR,EOC_English_2_CACR,EOC_Math_I_CACR,Graduation_Rate_5_Yr,Graduation_Rate4_Yr,Passing_Math_III,calendar_only_txt_Year-Round Calendar,esea_status_Esea_Pass,esea_status_Non_Esea,SPG Grade_A+NG,SPG Grade_B,SPG Grade_C,SPG Grade_D,Reading SPG Grade_C,Reading SPG Grade_D,Reading SPG Grade_F,Math SPG Grade_B,Math SPG Grade_C,Math SPG Grade_D,Math SPG Grade_F,EVAAS Growth Status_Met,EVAAS Growth Status_NotMet,State Gap Compared_Y,Byod_Yes,1_to_1_access_Yes
False,False,False,False,311.0,947.0,860,True,True,21.0,16.0,12.0,18.0,18.0,18.0,9324.04,0.613,0.212,0.084,0.081,0.01,1091.0,2667.56,5565.48,95.0,89.6,95.0,100.0,88.0,100.0,0.0,100.0,100.0,1067.0,963.0,0.12,0.38,0.0,0.09,0.0,0.4,0.0,0.0,1.0,0.135048232,0.762057878,1.0,0.6797034759999999,0.10812883400000001,54.71698113,0.9840000000000001,0.0,0.96,0.0,0.0,1.19,0.9440000000000001,0.85,14.08,0.0,0.0,2.12,0.951,1.27,0.5,2003.0,1.85,19.11,21.0,1.62,1064.0,1.25,0.833,0.25,0.0,0.75,1.0,0.33299999999999996,0.16699999999999998,1.0,0.9179999999999999,0.262,0.205,0.5329999999999999,7.0,0.25,0.213,0.008,0.9790000000000001,0.981,1.0,0.977,0.019,0.0,0.231,0.526,0.368,0.105,100.0,60.0,0.0,46.2,85.3,83.1,93.8,80.3,100.0,100.0,100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
False,False,False,False,1033.0,947.0,860,True,False,21.0,18.0,18.0,18.0,18.0,18.0,9324.04,0.613,0.212,0.084,0.081,0.01,1091.0,2667.56,5565.48,63.0,80.6,30.0,49.0,54.0,48.0,57.0,100.0,85.0,908.0,963.0,0.4,0.38,0.06,0.09,0.27,0.4,0.0,5.0,1.0,0.66214908,0.027105518,1.0,0.6797034759999999,0.10812883400000001,52.31481481,0.9440000000000001,0.87,22.27,0.0,0.0,1.95,0.9440000000000001,0.85,14.08,0.0,0.0,2.12,0.951,1.27,0.05,1999.0,13.8,19.11,69.0,1.1,1064.0,1.25,0.912,0.33299999999999996,0.261,0.406,6.0,0.23199999999999998,0.33299999999999996,0.9670000000000001,0.9179999999999999,0.262,0.205,0.5329999999999999,7.0,0.25,0.213,0.008,0.9790000000000001,0.981,1.0,0.977,0.019,0.0,0.231,0.526,0.368,0.105,48.6,18.2,52.6,17.0,38.9,49.0,38.3,29.0,87.1,79.4,100.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
False,False,False,False,1096.0,947.0,860,True,False,21.0,21.0,17.0,18.0,18.0,18.0,9324.04,0.613,0.212,0.084,0.081,0.01,1091.0,2667.56,5565.48,74.0,90.9,59.0,57.0,66.0,66.0,72.0,100.0,84.0,1023.0,963.0,0.28,0.38,0.14,0.09,0.49,0.4,0.0,7.0,1.0,0.734489051,0.015510949,1.0,0.6797034759999999,0.10812883400000001,58.09859155,0.932,0.73,12.86,0.0,0.0,6.19,0.9440000000000001,0.85,14.08,0.0,0.0,2.12,0.951,1.27,0.05,1997.0,13.61,19.11,94.0,1.34,1064.0,1.25,0.9440000000000001,0.324,0.141,0.535,10.0,0.29600000000000004,0.187,0.9570000000000001,0.9179999999999999,0.262,0.205,0.5329999999999999,7.0,0.25,0.213,0.008,0.9790000000000001,0.981,1.0,0.977,0.019,0.0,0.231,0.526,0.368,0.105,56.8,21.4,74.5,27.5,48.4,52.7,50.5,41.9,86.9,84.0,100.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,False,False,False,1346.0,947.0,860,True,False,20.0,20.0,17.0,18.0,18.0,18.0,9324.04,0.613,0.212,0.084,0.081,0.01,1091.0,2667.56,5565.48,74.0,90.9,63.0,59.0,57.0,62.0,75.0,100.0,83.0,963.0,963.0,0.53,0.38,0.1,0.09,0.33,0.4,0.0,7.0,1.0,0.7488855870000001,0.10475482900000001,1.0,0.6797034759999999,0.10812883400000001,51.79153094,0.929,1.11,11.81,0.0,0.0,2.12,0.9440000000000001,0.85,14.08,0.0,0.0,2.12,0.951,1.27,0.23,1998.0,13.21,19.11,112.0,1.37,1064.0,1.25,0.9129999999999999,0.163,0.239,0.598,10.0,0.217,0.14800000000000002,0.997,0.9179999999999999,0.262,0.205,0.5329999999999999,7.0,0.25,0.213,0.008,0.9790000000000001,0.981,1.0,0.977,0.019,0.0,0.231,0.526,0.368,0.105,63.0,19.1,72.8,24.2,51.5,60.1,50.8,44.1,82.7,88.2,100.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
False,False,False,False,1279.0,779.0,860,True,False,22.0,23.0,21.0,19.0,19.0,22.0,9079.74,0.652,0.22,0.053,0.066,0.009000000000000001,917.31,2493.43,5669.0,77.0,80.6,69.0,69.0,63.0,70.0,78.0,100.0,91.0,1060.0,1037.0,0.56,0.47,0.19,0.16,0.63,0.54,0.0,12.0,0.994526974,0.6872556679999999,0.08756841300000001,1.0,0.684419918,0.104851129,59.74025974,0.955,1.41,11.73,0.0,0.0,2.46,0.95,2.17,20.21,0.03,0.0,1.45,0.951,1.27,0.05,1995.0,14.29,22.69,117.0,1.43,2404.0,1.38,0.898,0.22,0.268,0.512,14.0,0.284,0.19699999999999998,1.0,0.948,0.18100000000000002,0.284,0.535,13.0,0.282,0.141,0.006,0.9990000000000001,1.0,0.9990000000000001,0.9990000000000001,0.0,0.001,0.231,0.395,0.442,0.163,69.6,37.0,81.2,34.4,54.2,53.7,63.7,46.4,92.7,92.8,100.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
False,False,False,False,268.0,779.0,860,True,False,19.0,19.0,19.0,19.0,19.0,22.0,9079.74,0.652,0.22,0.053,0.066,0.009000000000000001,917.31,2493.43,5669.0,91.0,80.5,84.0,95.0,93.0,95.0,0.0,100.0,100.0,1103.0,1037.0,0.3,0.47,0.0,0.16,0.0,0.54,0.0,0.0,1.0,0.27985074600000004,0.996268657,1.0,0.684419918,0.104851129,80.0,0.9590000000000001,0.0,2.24,0.0,0.0,3.67,0.95,2.17,20.21,0.03,0.0,1.45,0.951,1.27,0.0,0.0,0.0,0.0,6.0,0.3,2404.0,1.38,1.0,0.14300000000000002,0.214,0.643,7.0,0.28600000000000003,0.037000000000000005,1.0,0.948,0.18100000000000002,0.284,0.535,13.0,0.282,0.141,0.006,0.9990000000000001,1.0,0.9990000000000001,0.9990000000000001,0.0,0.001,0.231,0.395,0.442,0.163,94.8,53.4,0.0,67.2,70.7,75.4,81.0,55.9,100.0,100.0,100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
False,False,False,False,54.0,779.0,860,True,False,0.0,0.0,0.0,0.0,0.0,0.0,9079.74,0.652,0.22,0.053,0.066,0.009000000000000001,917.31,2493.43,5669.0,74.0,0.0,0.0,0.0,40.0,56.0,67.0,100.0,69.0,920.0,1037.0,0.06,0.47,0.0,0.16,0.0,0.54,0.0,0.0,1.0,0.055555556,0.87037037,1.0,0.684419918,0.104851129,40.57971014,0.9440000000000001,3.7,18.52,0.0,0.0,0.86,0.95,2.17,20.21,0.03,0.0,1.45,0.951,1.27,0.0,0.0,0.0,0.0,12.0,0.6,2404.0,1.38,1.0,0.0,0.5,0.5,0.0,0.75,0.0,1.0,0.948,0.18100000000000002,0.284,0.535,13.0,0.282,0.141,0.006,0.9990000000000001,1.0,0.9990000000000001,0.9990000000000001,0.0,0.001,0.231,0.395,0.442,0.163,68.0,32.0,93.3,44.0,0.0,0.0,0.0,0.0,74.5,92.3,100.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,False,False,False,757.0,779.0,860,True,False,21.0,21.0,22.0,19.0,19.0,22.0,9079.74,0.652,0.22,0.053,0.066,0.009000000000000001,917.31,2493.43,5669.0,67.0,63.0,43.0,65.0,57.0,58.0,75.0,95.0,90.0,995.0,1037.0,0.56,0.47,0.17,0.16,0.6,0.54,0.0,8.0,1.0,0.727873184,0.062087185999999996,1.0,0.684419918,0.104851129,58.91891892,0.9470000000000001,1.45,10.17,0.0,0.0,1.3,0.95,2.17,20.21,0.03,0.0,1.45,0.951,1.27,0.01,2001.0,15.22,22.69,80.0,1.38,2404.0,1.38,0.945,0.182,0.29100000000000004,0.527,19.0,0.309,0.24100000000000002,1.0,0.948,0.18100000000000002,0.284,0.535,13.0,0.282,0.141,0.006,0.9990000000000001,1.0,0.9990000000000001,0.9990000000000001,0.0,0.001,0.231,0.395,0.442,0.163,56.3,22.4,80.9,23.7,43.1,44.2,45.6,40.0,90.3,87.2,100.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
False,False,False,False,1262.0,779.0,860,True,False,19.0,20.0,17.0,19.0,19.0,22.0,9079.74,0.652,0.22,0.053,0.066,0.009000000000000001,917.31,2493.43,5669.0,62.0,72.6,42.0,48.0,49.0,42.0,73.0,92.0,83.0,924.0,1037.0,0.42,0.47,0.09,0.16,0.45,0.54,0.0,8.0,1.0,0.79318542,0.022187005,1.0,0.684419918,0.104851129,43.38842975,0.934,3.96,31.77,0.08,0.0,2.6,0.95,2.17,20.21,0.03,0.0,1.45,0.951,1.27,0.03,1998.0,13.03,22.69,105.0,1.35,2404.0,1.38,0.951,0.259,0.34600000000000003,0.395,7.0,0.207,0.177,0.99,0.948,0.18100000000000002,0.284,0.535,13.0,0.282,0.141,0.006,0.9990000000000001,1.0,0.9990000000000001,0.9990000000000001,0.0,0.001,0.231,0.395,0.442,0.163,41.5,14.9,64.2,15.7,34.2,46.1,37.7,19.8,85.6,79.4,100.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
False,True,False,False,1161.0,779.0,860,True,False,18.0,17.0,20.0,19.0,19.0,22.0,9079.74,0.652,0.22,0.053,0.066,0.009000000000000001,917.31,2493.43,5669.0,63.0,55.0,42.0,59.0,59.0,54.0,83.0,100.0,81.0,1002.0,1037.0,0.41,0.47,0.18,0.16,0.43,0.54,0.0,12.0,0.9905254090000001,0.73126615,0.0,1.0,0.684419918,0.104851129,47.98387097,0.953,2.33,34.11,0.0,0.0,1.59,0.95,2.17,20.21,0.03,0.0,1.45,0.951,1.27,0.01,1998.0,13.73,22.69,101.0,1.4,2404.0,1.38,0.9570000000000001,0.213,0.28,0.507,16.0,0.25,0.08199999999999999,1.0,0.948,0.18100000000000002,0.284,0.535,13.0,0.282,0.141,0.006,0.9990000000000001,1.0,0.9990000000000001,0.9990000000000001,0.0,0.001,0.231,0.395,0.442,0.163,63.3,21.3,80.4,27.2,43.4,41.7,46.4,42.1,84.4,83.6,100.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
