title1_type_flg,clp_ind_flg,summer_program_flg,student_num,lea_avg_student_num,st_avg_student_num,Grad_project_status,stem_flg,Avg_Class_Size_06,Avg_Class_Size_07,Avg_Class_Size_08,Avg_Class_Size_MathI,Avg_Dist_Size_06,Avg_Dist_Size_07,Avg_Dist_Size_08,Avg_Dist_Size_Biology,lea_total_expense_num,lea_salary_expense_pct,lea_benefits_expense_pct,lea_services_expense_pct,lea_supplies_expense_pct,lea_instruct_equip_exp_pct,lea_federal_perpupil_num,lea_local_perpupil_num,lea_state_perpupil_num,SPG Score,Reading  SPG Score,Math SPG Score,EVAAS Growth Score,Science Score,Math I Score,lea_sat_avg_score_num,lea_sat_participation_pct,lea_ap_participation_pct,lea_ap_pct_3_or_above,lea_ib_pct_4_or_above,avg_daily_attend_pct,crime_per_c_num,short_susp_per_c_num,long_susp_per_c_num,expelled_per_c_num,stud_internet_comp_num,lea_avg_daily_attend_pct,lea_crime_per_c_num,lea_short_susp_per_c_num,lea_long_susp_per_c_num,lea_expelled_per_c_num,lea_stud_internet_comp_num,st_avg_daily_attend_pct,st_crime_per_c_num,digital_media_pct,avg_age_media_collection,books_per_student,lea_books_per_student,wap_num,wap_per_classroom,lea_wap_num,lea_wap_per_classroom,flicensed_teach_pct,tchyrs_0thru3_pct,tchyrs_4thru10_pct,tchyrs_11plus_pct,nbpts_num,advance_dgr_pct,_1yr_tchr_trnovr_pct,lateral_teach_pct,highqual_class_pct,lea_flicensed_teach_pct,lea_tchyrs_0thru3_pct,lea_tchyrs_4thru10_pct,lea_tchyrs_11plus_pct,lea_nbpts_num,lea_advance_dgr_pct,lea_1yr_tchr_trnovr_pct,lea_emer_prov_teach_pct,lea_highqual_class_pct,lea_highqual_class_hp_pct,lea_highqual_class_lp_pct,lea_highqual_class_all_pct,lea_not_highqual_class_hp_pct,lea_not_highqual_class_lp_pct,st_flicensed_teach_pct,st_tchyrs_0thru3_pct,st_tchyrs_4thru10_pct,st_tchyrs_11plus_pct,st_advance_dgr_pct,Dist_Prin_Exp_Pct_0_3_Years,Dist_Prin_Exp_Pct_4_10_Years,Dist_Prin_Exp_Pct_10+_Years,All_EOC_Subjects_CACR,EOG_Gr6_CACR,EOG_Gr7_CACR,EOG_Gr8_CACR,EOG_Science_Grades_5&8_CACR,Indian Male,Asian Male,Hispanic Male,Black Male,White Male,Pacific Island Male,Pacific Island Female,Two or  More Male,Two or  More Female,Pacific Island,White_Pct,Majority_Minority,category_cd_T,calendar_only_txt_Year-Round Calendar,esea_status_Esea_Pass,esea_status_Non_Esea,SPG Grade_A+NG,SPG Grade_B,SPG Grade_C,SPG Grade_D,SPG Grade_F,Reading SPG Grade_B,Reading SPG Grade_C,Reading SPG Grade_D,Reading SPG Grade_F,Math SPG Grade_B,Math SPG Grade_C,Math SPG Grade_D,Math SPG Grade_F,EVAAS Growth Status_Met,EVAAS Growth Status_NotMet,State Gap Compared_Y,Byod_Yes,1_to_1_access_Yes
True,False,False,787.0,722.0,634,False,False,18.0,20.0,25.0,27.0,21.0,21.0,24.0,18.0,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,1155.92,1832.54,5529.5,0.0,0.0,0.0,0.0,0.0,0.0,961.0,0.51,0.15,0.37,0.0,0.934,2.03,43.33,0.13,0.0,0.9,0.9440000000000001,1.09,24.71,0.02,0.0,1.24,0.951,0.83,0.1,2002.0,17.64,14.24,49.0,0.92,1380.0,0.92,0.835,0.262,0.19699999999999998,0.541,4.0,0.23,0.175,0.165,0.981,0.92,0.207,0.29,0.503,4.0,0.239,0.13,0.003,0.95,0.924,0.914,0.94,0.076,0.086,0.9229999999999999,0.244,0.251,0.506,0.268,0.41700000000000004,0.41700000000000004,0.16699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,5.0,179.0,135.0,29.0,0.0,1.0,16.0,14.0,1.0,0.07191316099999999,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True,False,False,623.0,722.0,634,False,False,15.0,18.0,17.0,21.0,21.0,21.0,24.0,18.0,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,1155.92,1832.54,5529.5,0.0,0.0,0.0,0.0,0.0,0.0,961.0,0.51,0.15,0.37,0.0,0.9440000000000001,2.41,48.64,0.0,0.0,0.89,0.9440000000000001,1.09,24.71,0.02,0.0,1.24,0.951,0.83,0.1,1999.0,15.13,14.24,48.0,1.14,1380.0,0.92,0.85,0.315,0.37,0.315,4.0,0.24100000000000002,0.2,0.131,0.976,0.92,0.207,0.29,0.503,4.0,0.239,0.13,0.003,0.95,0.924,0.914,0.94,0.076,0.086,0.9229999999999999,0.244,0.251,0.506,0.268,0.41700000000000004,0.41700000000000004,0.16699999999999998,0.0,0.0,0.0,0.0,0.0,1.0,5.0,149.0,77.0,79.0,0.0,1.0,17.0,14.0,1.0,0.20516962800000002,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,False,False,641.0,722.0,634,False,False,23.0,26.0,24.0,19.0,21.0,21.0,24.0,18.0,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,1155.92,1832.54,5529.5,0.0,0.0,0.0,0.0,0.0,0.0,961.0,0.51,0.15,0.37,0.0,0.945,1.25,17.94,0.0,0.0,0.89,0.9440000000000001,1.09,24.71,0.02,0.0,1.24,0.951,0.83,0.0,1999.0,24.2,14.24,58.0,1.32,1380.0,0.92,0.975,0.175,0.35,0.475,5.0,0.15,0.126,0.025,0.912,0.92,0.207,0.29,0.503,4.0,0.239,0.13,0.003,0.95,0.924,0.914,0.94,0.076,0.086,0.9229999999999999,0.244,0.251,0.506,0.268,0.41700000000000004,0.41700000000000004,0.16699999999999998,0.0,0.0,0.0,0.0,0.0,3.0,0.0,83.0,45.0,186.0,2.0,0.0,13.0,11.0,2.0,0.548183254,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,False,False,770.0,722.0,634,False,False,24.0,23.0,27.0,25.0,21.0,21.0,24.0,18.0,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,1155.92,1832.54,5529.5,0.0,0.0,0.0,0.0,0.0,0.0,961.0,0.51,0.15,0.37,0.0,0.9420000000000001,0.39,17.14,0.0,0.0,1.51,0.9440000000000001,1.09,24.71,0.02,0.0,1.24,0.951,0.83,0.0,2003.0,12.01,14.24,52.0,0.98,1380.0,0.92,0.899,0.24,0.2,0.56,2.0,0.26,0.111,0.081,0.897,0.92,0.207,0.29,0.503,4.0,0.239,0.13,0.003,0.95,0.924,0.914,0.94,0.076,0.086,0.9229999999999999,0.244,0.251,0.506,0.268,0.41700000000000004,0.41700000000000004,0.16699999999999998,0.0,0.0,0.0,0.0,0.0,1.0,4.0,48.0,16.0,309.0,0.0,0.0,11.0,12.0,0.0,0.800535475,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True,False,False,804.0,722.0,634,False,False,20.0,26.0,26.0,23.0,21.0,21.0,24.0,18.0,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,1155.92,1832.54,5529.5,0.0,0.0,0.0,0.0,0.0,0.0,961.0,0.51,0.15,0.37,0.0,0.9470000000000001,1.0,31.72,0.0,0.0,1.24,0.9440000000000001,1.09,24.71,0.02,0.0,1.24,0.951,0.83,0.01,2004.0,10.1,14.24,63.0,1.11,1380.0,0.92,1.0,0.175,0.281,0.544,4.0,0.24600000000000002,0.07,0.0,0.9740000000000001,0.92,0.207,0.29,0.503,4.0,0.239,0.13,0.003,0.95,0.924,0.914,0.94,0.076,0.086,0.9229999999999999,0.244,0.251,0.506,0.268,0.41700000000000004,0.41700000000000004,0.16699999999999998,0.0,0.0,0.0,0.0,0.0,1.0,11.0,114.0,147.0,107.0,1.0,1.0,20.0,29.0,2.0,0.28005284,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,False,False,878.0,722.0,634,False,False,24.0,25.0,24.0,28.0,21.0,21.0,24.0,18.0,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,1155.92,1832.54,5529.5,0.0,0.0,0.0,0.0,0.0,0.0,961.0,0.51,0.15,0.37,0.0,0.95,0.23,5.81,0.0,0.0,1.6,0.9440000000000001,1.09,24.71,0.02,0.0,1.24,0.951,0.83,0.01,2004.0,12.88,14.24,56.0,1.17,1380.0,0.92,0.9620000000000001,0.075,0.34,0.585,6.0,0.34,0.079,0.038,0.975,0.92,0.207,0.29,0.503,4.0,0.239,0.13,0.003,0.95,0.924,0.914,0.94,0.076,0.086,0.9229999999999999,0.244,0.251,0.506,0.268,0.41700000000000004,0.41700000000000004,0.16699999999999998,0.0,0.0,0.0,0.0,0.0,1.0,5.0,62.0,41.0,337.0,3.0,1.0,15.0,12.0,4.0,0.7090707959999999,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
False,False,False,552.0,722.0,634,False,False,26.0,23.0,24.0,29.0,21.0,21.0,24.0,18.0,8517.96,0.631,0.212,0.07400000000000001,0.07400000000000001,0.009000000000000001,1155.92,1832.54,5529.5,0.0,0.0,0.0,0.0,0.0,0.0,961.0,0.51,0.15,0.37,0.0,0.9570000000000001,0.54,9.42,0.0,0.0,1.27,0.9440000000000001,1.09,24.71,0.02,0.0,1.24,0.951,0.83,0.01,1999.0,14.55,14.24,43.0,1.05,1380.0,0.92,0.945,0.18899999999999997,0.324,0.486,6.0,0.162,0.129,0.055,0.914,0.92,0.207,0.29,0.503,4.0,0.239,0.13,0.003,0.95,0.924,0.914,0.94,0.076,0.086,0.9229999999999999,0.244,0.251,0.506,0.268,0.41700000000000004,0.41700000000000004,0.16699999999999998,0.0,0.0,0.0,0.0,0.0,2.0,4.0,43.0,57.0,165.0,0.0,0.0,14.0,19.0,0.0,0.562383613,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,False,False,601.0,543.0,634,False,False,20.0,24.0,22.0,27.0,23.0,23.0,22.0,18.0,8505.53,0.632,0.22,0.055,0.079,0.013999999999999999,923.51,1518.55,6063.47,0.0,0.0,0.0,0.0,0.0,0.0,1002.0,0.34,0.09,0.47,0.0,0.977,0.83,14.81,0.0,0.0,1.53,0.963,0.65,13.46,0.0,0.0,1.08,0.951,0.83,0.01,2001.0,22.55,19.64,53.0,1.13,463.0,1.2,1.0,0.22,0.244,0.537,5.0,0.39,0.22,0.0,0.9690000000000001,1.0,0.23,0.17600000000000002,0.595,6.0,0.33799999999999997,0.184,0.0,0.978,1.0,1.0,0.983,0.0,0.0,0.9229999999999999,0.244,0.251,0.506,0.268,0.5,0.3,0.2,0.0,0.0,0.0,0.0,0.0,1.0,5.0,48.0,19.0,227.0,0.0,0.0,19.0,11.0,0.0,0.736,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,False,False,484.0,543.0,634,False,False,25.0,21.0,21.0,18.0,23.0,23.0,22.0,18.0,8505.53,0.632,0.22,0.055,0.079,0.013999999999999999,923.51,1518.55,6063.47,0.0,0.0,0.0,0.0,0.0,0.0,1002.0,0.34,0.09,0.47,0.0,0.971,0.41,11.78,0.0,0.0,1.17,0.963,0.65,13.46,0.0,0.0,1.08,0.951,0.83,0.0,1998.0,19.64,19.64,52.0,1.13,463.0,1.2,1.0,0.242,0.091,0.667,7.0,0.273,0.14300000000000002,0.0,0.99,1.0,0.23,0.17600000000000002,0.595,6.0,0.33799999999999997,0.184,0.0,0.978,1.0,1.0,0.983,0.0,0.0,0.9229999999999999,0.244,0.251,0.506,0.268,0.5,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,3.0,232.0,0.0,0.0,11.0,7.0,0.0,0.8915187379999999,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True,False,False,235.0,309.0,475,False,False,23.0,23.0,18.0,0.0,21.0,20.0,17.0,0.0,11936.48,0.611,0.2,0.087,0.092,0.01,1487.57,2467.21,7981.7,0.0,0.0,0.0,0.0,0.0,0.0,964.0,0.29,0.0,0.56,0.0,0.9570000000000001,0.0,2.55,0.0,0.0,0.89,0.9470000000000001,0.22,7.24,0.0,0.0,0.79,0.9570000000000001,0.24,0.0,1997.0,74.99,42.08,21.0,0.91,111.0,0.93,0.955,0.273,0.273,0.455,4.0,0.409,0.244,0.0,0.98,0.9640000000000001,0.226,0.28600000000000003,0.488,5.0,0.405,0.163,0.012,0.872,0.805,0.0,0.86,0.195,0.0,0.895,0.255,0.254,0.491,0.262,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,84.0,0.0,0.0,1.0,4.0,0.0,0.6981981979999999,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
