Year,unit_code,street_ad,scity_ad,state_ad,szip_ad,type_cd_txt,Closed_Ind_Text,New_ind_Txt,category_cd,school_type_txt,calendar_only_txt,title1_type_flg,clp_ind_flg,focus_clp_flg,summer_program_flg,asm_no_spg_flg,no_data_spg_flg,esea_status,student_num,lea_avg_student_num,st_avg_student_num,Grad_project_status,stem_flg,Avg_Class_Size_00,Avg_Class_Size_01,Avg_Class_Size_02,Avg_Class_Size_03,Avg_Class_Size_04,Avg_Class_Size_05,Avg_Class_Size_06,Avg_Class_Size_07,Avg_Class_Size_08,Avg_Class_Size_Biology,Avg_Class_Size_EnglishII,Avg_Class_Size_MathI,Avg_Dist_Size_00,Avg_Dist_Size_01,Avg_Dist_Size_02,Avg_Dist_Size_03,Avg_Dist_Size_04,Avg_Dist_Size_05,Avg_Dist_Size_06,Avg_Dist_Size_07,Avg_Dist_Size_08,Avg_Dist_Size_Biology,Avg_Dist_Size_EnglishII,Avg_Dist_Size_MathI,Avg_State_Size_00,Avg_State_Size_01,Avg_State_Size_02,Avg_State_Size_03,Avg_State_Size_04,Avg_State_Size_05,Avg_State_Size_06,Avg_State_Size_07,Avg_State_Size_08,Avg_State_Size_Biology,Avg_State_Size_EnglishII,Avg_State_Size_MathI,total_expense_num,salary_expense_pct,benefits_expense_pct,services_expense_pct,supplies_expense_pct,instruct_equip_exp_pct,other_expense_pct,federal_perpupil_num,local_perpupil_num,state_perpupil_num,lea_total_expense_num,lea_salary_expense_pct,lea_benefits_expense_pct,lea_services_expense_pct,lea_supplies_expense_pct,lea_instruct_equip_exp_pct,lea_other_expense_pct,lea_federal_perpupil_num,lea_local_perpupil_num,lea_state_perpupil_num,st_total_expense_num,st_salary_expense_pct,st_benefits_expense_pct,st_services_expense_pct,st_supplies_expense_pct,st_instruct_equip_exp_pct,st_other_expense_pct,st_federal_perpupil_num,st_local_perpupil_num,st_state_perpupil_num,SPG Grade,SPG Score,Reading SPG Grade,Reading  SPG Score,Math SPG Grade,Math SPG Score,EVAAS Growth Status,EVAAS Growth Score,Overall Achievement Score,Read Score,Math Score,Science Score,Math I Score,English II Score,Biology Score,The ACT Score,ACT WorkKeys Score,Math Course Rigor Score,Cohort Graduation Rate Standard Score,State Gap Compared,GCE_ALL_School_Pct,GCE_LEP_School_Pct,GCE_PRM_School_Pct,GCE_RPF_School_Pct,GCE_SWD_School_Pct,PASSED_EOG_School_Pct,PASSED_LAA_School_Pct,PASSED_RTA_School_Pct,PROMOTED_School_Pct,RETAINED_School_Pct,GCE_ALL_Dist_Pct,GCE_LEP_Dist_Pct,GCE_PRM_Dist_Pct,GCE_RPF_Dist_Pct,GCE_SWD_Dist_Pct,PASSED_EOG_Dist_Pct,PASSED_LAA_Dist_Pct,PASSED_RTA_Dist_Pct,PROMOTED_Dist_Pct,RETAINED_Dist_Pct,GCE_ALL_State_Pct,GCE_LEP_State_Pct,GCE_PRM_State_Pct,GCE_RPF_State_Pct,GCE_SWD_State_Pct,PASSED_EOG_State_Pct,PASSED_LAA_State_Pct,PASSED_RTA_State_Pct,PROMOTED_State_Pct,RETAINED_State_Pct,sat_avg_score_num,lea_sat_avg_score_num,st_sat_avg_score_num,nat_sat_avg_score_num,sat_participation_pct,lea_sat_participation_pct,st_sat_participation_pct,nat_sat_participation_pct,esea_attendance,lea_esea_attendance,ap_participation_pct,lea_ap_participation_pct,st_ap_participation_pct,ap_pct_3_or_above,lea_ap_pct_3_or_above,st_ap_pct_3_or_above,ib_participation_pct,lea_ib_participation_pct,st_ib_participation_pct,ib_pct_4_or_above,lea_ib_pct_4_or_above,st_ib_pct_4_or_above,AP_Courses_Offered,total_specialized_courses,ap_ib_courses,cte_courses,univ_college_courses,lea_total_specialized_courses,lea_ap_ib_courses,lea_cte_courses,lea_univ_college_courses,st_total_specialized_courses,st_ap_ib_courses,st_cte_courses,st_univ_college_courses,sch_percent_college_enrolled_16_mos_post_grad,One_Yr_College_Complete_wi_2_yrs_Enrolled_2012,avg_daily_attend_pct,crime_per_c_num,short_susp_per_c_num,long_susp_per_c_num,expelled_per_c_num,ttl_crimes_num,stud_internet_comp_num,lea_avg_daily_attend_pct,lea_crime_per_c_num,lea_short_susp_per_c_num,lea_long_susp_per_c_num,lea_expelled_per_c_num,lea_stud_internet_comp_num,st_avg_daily_attend_pct,st_crime_per_c_num,st_short_susp_per_c_num,st_long_susp_per_c_num,st_expelled_per_c_num,st_stud_internet_comp_num,digital_media_pct,Byod,grades_BYOD,avg_age_media_collection,1_to_1_access,books_per_student,grades_1_to_1_access,lea_avg_age_media_collection,lea_books_per_student,st_avg_age_media_collection,st_books_per_student,wap_num,wap_per_classroom,lea_wap_num,lea_wap_per_classroom,st_wap_num,st_wap_per_classroom,prin_other_pct,prinyrs_0thru3_pct,prinyrs_4thru10_pct,prinyrs_11plus_pct,prin_advance_dgr_pct,_1yr_prin_trnovr_pct,prin_male_pct,prin_female_pct,prin_black_pct,prin_white_pct,flicensed_teach_pct,tchyrs_0thru3_pct,tchyrs_4thru10_pct,tchyrs_11plus_pct,class_teach_num,nbpts_num,advance_dgr_pct,_1yr_tchr_trnovr_pct,emer_prov_teach_pct,lateral_teach_pct,highqual_class_pct,lea_flicensed_teach_pct,lea_tchyrs_0thru3_pct,lea_tchyrs_4thru10_pct,lea_tchyrs_11plus_pct,lea_class_teach_num,lea_nbpts_num,lea_advance_dgr_pct,lea_1yr_tchr_trnovr_pct,lea_emer_prov_teach_pct,lea_lateral_teach_pct,lea_highqual_class_pct,lea_highqual_class_hp_pct,lea_highqual_class_lp_pct,lea_highqual_class_all_pct,lea_not_highqual_class_hp_pct,lea_not_highqual_class_lp_pct,lea_not_highqual_class_all_pct,st_flicensed_teach_pct,st_tchyrs_0thru3_pct,st_tchyrs_4thru10_pct,st_tchyrs_11plus_pct,st_class_teach_num,st_nbpts_num,st_advance_dgr_pct,st_1yr_tchr_trnovr_pct,st_emer_prov_teach_pct,st_lateral_teach_pct,st_highqual_class_pct,st_highqual_class_hp_pct,st_highqual_class_lp_pct,st_highqual_class_all_pct,st_not_highqual_class_hp_pct,st_not_highqual_class_lp_pct,st_not_highqual_class_all_pct,st_prinyrs_0thru3_pct,st_prinyrs_4thru10_pct,st_prinyrs_11plus_pct,st_prin_advance_dgr_pct,st_1yr_prin_trnovr_pct,st_prin_male_pct,st_prin_female_pct,st_prin_black_pct,st_prin_white_pct,st_prin_other_pct,Tch_Exp_Pct_0_3_Years,Tch_Exp_Pct_4_10_Years,Tch_Exp_Pct_10+_Years,Dist_Tch_Exp_Pct_0_3_Years,Dist_Tch_Exp_Pct_4_10_Years,Dist_Tch_Exp_Pct_10+_Years,State_Tch_Exp_Pct_0_3_Years,State_Tch_Exp_Pct_4_10_Years,State_Tch_Exp_Pct_10+_Years,Dist_Prin_Exp_Pct_0_3_Years,Dist_Prin_Exp_Pct_4_10_Years,Dist_Prin_Exp_Pct_10+_Years,State_Prin_Exp_Pct_0_3_Years,State_Prin_Exp_Pct_4_10_Years,State_Prin_Exp_Pct_10+_Years
2016,49E000,104 Yellow Wood Circle,Mooresville,NC,28115,Charter,Open,School Is Not New,A,Regular School,Traditional Calendar,0,0,0,0,0,0,,1694,,511,,0,20,18,22,25,25,26,26,27,23,14,23,28,,,,,,,,,,,,,19,19,19,19,20,21,21,22,21,18,18,20,8297.25,0.488,0.146,0.267,0.087,0.012,0,158.82,2871.81,5266.62,,,,,,,,,,,8859.04,0.62,0.205,0.09,0.075,0.01,0,967.75,2172.86,5718.43,,,,,,,,,,,,,,,,,,,,,0,,,,,0.872,0.088,,0.95,,,,,,,,,,,,0.112,,,,0.065,0.579,0.11,,0.856,0.144,1087,,997,1006,0.92,,0.49,0.52,N/A,N/A,0.40,,0.15,0.64,,0.51,,,,,,0.75,,,,,,,,,,,,,,73.11827957,73.11827957,0.969,0.3,0.77,0,0,,,,,,,,,0.958,0.58,8.39,0.06,0,1.2,,,,,,,,,,,,,,,,111757,1.12,,,,,,,,,,,0.893,,,,103,,,,,0.019,0.872,,,,,,,,,,,,,,,,,,0.808,0.227,0.226,0.547,36,2,0.277,0.157,0.003,0.068,0.82,0.964,0.976,0.963,0.036,0.024,0.037,0.43,0.427,0.143,0.222,0.089,0.398,0.596,0.237,0.737,0.026,,,,,,,0.227,0.226,0.547,,,,0.43,0.427,0.143
2016,92E000,202 Treybrooke Drive,Morrisville,NC,27560,Charter,Open,School Is Not New,I,Regular School,Traditional Calendar,0,0,0,0,0,0,,590,,475,,0,24,,,,,,,12,12,,,16,,,,,,,,,,,,,19,,,,,,,22,21,18,18,20,7955.28,0.612,0.137,0.204,0.043,0.004,0,157.43,2453.72,5344.13,,,,,,,,,,,8859.04,0.62,0.205,0.09,0.075,0.01,0,967.75,2172.86,5718.43,,,,,,,,,,,,,,,,,,,,,0.042,,,,,0.903,,,0.95,,,,,,,,,,,,0.112,,,,0.065,0.579,0.11,,0.856,0.144,,,997,1006,,,0.49,0.52,N/A,N/A,,,0.15,,,0.51,,,,,,0.75,,,,,,,,,,,,,,,,0.961,0,0,0,0,,,,,,,,,0.957,0.24,8.76,0.06,0,1.2,,,,,,,,,,,,,,,,111757,1.12,,,,,,,,,,,0.8,,,,40,,,,,0.05,0.909,,,,,,,,,,,,,,,,,,0.895,0.255,0.254,0.491,32,5,0.262,0.127,0.003,0.046,0.894,0.964,0.976,0.963,0.036,0.024,0.037,0.43,0.427,0.143,0.222,0.089,0.398,0.596,0.237,0.737,0.026,,,,,,,0.255,0.254,0.491,,,,0.43,0.427,0.143
2016,010303,1247 Jimmie Kerr Road,Graham,NC,27253,Public,Open,School Is Not New,H,Regular School,Traditional Calendar,0,0,0,0,0,0,,108,985,860,N,0,,,,,,,,,,13,13,19,,,,,,,,,,18,18,21,,,,,,,,,,18,18,20,,,,,,,,,,,8517.96,0.631,0.212,0.074,0.074,0.009,0,1155.92,1832.54,5529.5,8859.04,0.62,0.205,0.09,0.075,0.01,0,967.75,2172.86,5718.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034,961,997,1006,0.43,0.51,0.49,0.52,N/A,N/A,,0.15,0.15,,0.37,0.51,,,,,,0.75,,,,,,,,,,,,,,45,45,0.991,0,0,0,0,,0.69,0.941,0.96,12.37,0.23,0,1.24,0.951,1.27,14.02,0.07,0,1.2,,,,,,,,,,,,,,1380,0.92,111757,1.12,,,,,,,,,,,1,0,0.286,0.714,7,1,0.143,0,,,0.964,0.903,0.242,0.24,0.518,54,5,0.211,0.13,,0.093,0.889,0.924,0.914,0.94,0.076,0.086,0.06,0.897,0.231,0.235,0.534,54,8,0.248,0.148,0.003,0.092,0.964,0.964,0.976,0.963,0.036,0.024,0.037,0.43,0.427,0.143,0.222,0.089,0.398,0.596,0.237,0.737,0.026,0,0.286,0.714,0.242,0.24,0.518,0.231,0.235,0.534,0.417,0.417,0.167,0.43,0.427,0.143
2016,010304,2518 NC 54,Graham,NC,27253,Public,Open,School Is Not New,E,Regular School,Traditional Calendar,0,0,0,0,0,0,,565,528,493,,0,18,19,22,20,24,23,,,,,,,18,18,19,19,21,22,,,,,,,19,19,19,19,20,21,,,,,,,,,,,,,,,,,8517.96,0.631,0.212,0.074,0.074,0.009,0,1155.92,1832.54,5529.5,8859.04,0.62,0.205,0.09,0.075,0.01,0,967.75,2172.86,5718.43,,,,,,,,,,,,,,,,,,,,,0.131,,,,,0.607,,,0.81,0.19,0.143,,,0.071,0.063,0.529,0.079,,0.825,0.175,0.112,,,,0.065,0.579,0.11,,0.856,0.144,,961,997,1006,,0.51,0.49,0.52,N/A,N/A,,0.15,0.15,,0.37,0.51,,,,,,0.75,,,,,,,,,,,,,,,,0.958,0.18,1.24,0,0,,1.6,0.944,0.22,5.89,0,0,1.24,0.952,0.21,13.15,0.06,0,1.2,0.01,No,-,2001,No,16.12,-,1999,14.24,2000,19.18,17,0.45,1380,0.92,111757,1.12,,,,,,,,,,,0.958,0.222,0.333,0.444,36,6,0.194,0.029,,0.042,1,0.975,0.276,0.256,0.468,38,4,0.246,0.117,0.001,0.021,0.988,0.924,0.914,0.94,0.076,0.086,0.06,0.975,0.227,0.273,0.5,34,5,0.285,0.134,0.004,0.015,0.982,0.964,0.976,0.963,0.036,0.024,0.037,0.43,0.427,0.143,0.222,0.089,0.398,0.596,0.237,0.737,0.026,0.222,0.333,0.444,0.276,0.256,0.468,0.227,0.273,0.5,0.417,0.417,0.167,0.43,0.427,0.143
2016,010308,2832 N NC 87,Elon,NC,27244,Public,Open,School Is Not New,E,Regular School,Traditional Calendar,0,0,0,0,0,0,,557,528,493,,0,18,18,20,20,26,27,,,,,,,18,18,19,19,21,22,,,,,,,19,19,19,19,20,21,,,,,,,,,,,,,,,,,8517.96,0.631,0.212,0.074,0.074,0.009,0,1155.92,1832.54,5529.5,8859.04,0.62,0.205,0.09,0.075,0.01,0,967.75,2172.86,5718.43,,,,,,,,,,,,,,,,,,,,,0.214,,,0.165,,0.709,,,0.95,,0.143,,,0.071,0.063,0.529,0.079,,0.825,0.175,0.112,,,,0.065,0.579,0.11,,0.856,0.144,,961,997,1006,,0.51,0.49,0.52,N/A,N/A,,0.15,0.15,,0.37,0.51,,,,,,0.75,,,,,,,,,,,,,,,,0.955,0.54,1.97,0,0,,1.35,0.944,0.22,5.89,0,0,1.24,0.952,0.21,13.15,0.06,0,1.2,0,No,-,2000,No,22.24,-,1999,14.24,2000,19.18,24,0.57,1380,0.92,111757,1.12,,,,,,,,,,,1,0.176,0.147,0.676,34,11,0.529,0.06,,,1,0.975,0.276,0.256,0.468,38,4,0.246,0.117,0.001,0.021,0.988,0.924,0.914,0.94,0.076,0.086,0.06,0.975,0.227,0.273,0.5,34,5,0.285,0.134,0.004,0.015,0.982,0.964,0.976,0.963,0.036,0.024,0.037,0.43,0.427,0.143,0.222,0.089,0.398,0.596,0.237,0.737,0.026,0.176,0.147,0.676,0.276,0.256,0.468,0.227,0.273,0.5,0.417,0.417,0.167,0.43,0.427,0.143
2016,010310,2229 Broadview Drive,Burlington,NC,27217,Public,Open,School Is Not New,M,Regular School,Traditional Calendar,-1,0,0,0,0,0,F,787,722,634,,0,,,,,,,18,20,25,,,27,,,,,,,21,21,24,18,18,21,,,,,,,21,22,21,18,18,20,,,,,,,,,,,8517.96,0.631,0.212,0.074,0.074,0.009,0,1155.92,1832.54,5529.5,8859.04,0.62,0.205,0.09,0.075,0.01,0,967.75,2172.86,5718.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961,997,1006,,0.51,0.49,0.52,N/A,N/A,,0.15,0.15,,0.37,0.51,,,,,,0.75,,,,,,,,,,,,,,,,0.934,2.03,43.33,0.13,0,,0.9,0.944,1.09,24.71,0.02,0,1.24,0.951,0.83,14.64,0.06,0,1.2,0.1,No,-,2002,No,17.64,-,1999,14.24,2000,19.18,49,0.92,1380,0.92,111757,1.12,,,,,,,,,,,0.835,0.262,0.197,0.541,61,4,0.23,0.175,,0.165,0.981,0.92,0.207,0.29,0.503,50,4,0.239,0.13,0.003,0.075,0.95,0.924,0.914,0.94,0.076,0.086,0.06,0.923,0.244,0.251,0.506,41,5,0.268,0.151,0.004,0.068,0.962,0.964,0.976,0.963,0.036,0.024,0.037,0.43,0.427,0.143,0.222,0.089,0.398,0.596,0.237,0.737,0.026,0.262,0.197,0.541,0.207,0.29,0.503,0.244,0.251,0.506,0.417,0.417,0.167,0.43,0.427,0.143
2016,010311,2550 Buckingham Road,Burlington,NC,27217,Public,Open,School Is Not New,H,Vocational Education,Traditional Calendar,0,0,0,0,0,-1,,,985,860,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8517.96,0.631,0.212,0.074,0.074,0.009,0,1155.92,1832.54,5529.5,8859.04,0.62,0.205,0.09,0.075,0.01,0,967.75,2172.86,5718.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961,997,1006,,0.51,0.49,0.52,N/A,N/A,,0.15,0.15,,0.37,0.51,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,0.941,0.96,12.37,0.23,0,1.24,0.951,1.27,14.02,0.07,0,1.2,0.92,No,-,2009,No,,-,1999,14.24,2000,19.18,22,1.16,1380,0.92,111757,1.12,,,,,,,,,,,0.8,0.067,0.067,0.867,15,3,0.067,0.071,,0.2,,0.903,0.242,0.24,0.518,54,5,0.211,0.13,,0.093,0.889,0.924,0.914,0.94,0.076,0.086,0.06,0.897,0.231,0.235,0.534,54,8,0.248,0.148,0.003,0.092,0.964,0.964,0.976,0.963,0.036,0.024,0.037,0.43,0.427,0.143,0.222,0.089,0.398,0.596,0.237,0.737,0.026,0.067,0.067,0.867,0.242,0.24,0.518,0.231,0.235,0.534,0.417,0.417,0.167,0.43,0.427,0.143
2016,010312,3720 Bonnar Bridge Parkway,Burlington,NC,27215,Public,Open,School Is Not New,E,Regular School,Traditional Calendar,0,0,0,0,0,0,,669,528,493,,0,17,18,22,20,22,23,,,,,,,18,18,19,19,21,22,,,,,,,19,19,19,19,20,21,,,,,,,,,,,,,,,,,8517.96,0.631,0.212,0.074,0.074,0.009,0,1155.92,1832.54,5529.5,8859.04,0.62,0.205,0.09,0.075,0.01,0,967.75,2172.86,5718.43,,,,,,,,,,,,,,,,,,,,,0.114,,,,,0.65,,,0.894,0.106,0.143,,,0.071,0.063,0.529,0.079,,0.825,0.175,0.112,,,,0.065,0.579,0.11,,0.856,0.144,,961,997,1006,,0.51,0.49,0.52,N/A,N/A,,0.15,0.15,,0.37,0.51,,,,,,0.75,,,,,,,,,,,,,,,,0.952,0,3.59,0,0,,2.27,0.944,0.22,5.89,0,0,1.24,0.952,0.21,13.15,0.06,0,1.2,0,No,-,2006,No,13.10,-,1999,14.24,2000,19.18,45,1.05,1380,0.92,111757,1.12,,,,,,,,,,,0.956,0.283,0.239,0.478,45,3,0.37,0.112,,0.044,1,0.975,0.276,0.256,0.468,38,4,0.246,0.117,0.001,0.021,0.988,0.924,0.914,0.94,0.076,0.086,0.06,0.975,0.227,0.273,0.5,34,5,0.285,0.134,0.004,0.015,0.982,0.964,0.976,0.963,0.036,0.024,0.037,0.43,0.427,0.143,0.222,0.089,0.398,0.596,0.237,0.737,0.026,0.283,0.239,0.478,0.276,0.256,0.468,0.227,0.273,0.5,0.417,0.417,0.167,0.43,0.427,0.143
2016,010320,301 N Charles Street,Mebane,NC,27302,Public,Open,School Is Not New,E,Regular School,Traditional Calendar,0,0,0,0,0,0,,311,528,493,,0,17,19,15,14,17,17,,,,,,,18,18,19,19,21,22,,,,,,,19,19,19,19,20,21,,,,,,,,,,,,,,,,,8517.96,0.631,0.212,0.074,0.074,0.009,0,1155.92,1832.54,5529.5,8859.04,0.62,0.205,0.09,0.075,0.01,0,967.75,2172.86,5718.43,,,,,,,,,,,,,,,,,,,,,0.304,,,,,0.587,,,0.935,,0.143,,,0.071,0.063,0.529,0.079,,0.825,0.175,0.112,,,,0.065,0.579,0.11,,0.856,0.144,,961,997,1006,,0.51,0.49,0.52,N/A,N/A,,0.15,0.15,,0.37,0.51,,,,,,0.75,,,,,,,,,,,,,,,,0.942,0,2.57,0,0,,1.18,0.944,0.22,5.89,0,0,1.24,0.952,0.21,13.15,0.06,0,1.2,0,No,-,1998,No,29.16,-,1999,14.24,2000,19.18,34,1.7,1380,0.92,111757,1.12,,,,,,,,,,,1,0.259,0.148,0.593,27,7,0.357,0.13,,,0.952,0.975,0.276,0.256,0.468,38,4,0.246,0.117,0.001,0.021,0.988,0.924,0.914,0.94,0.076,0.086,0.06,0.975,0.227,0.273,0.5,34,5,0.285,0.134,0.004,0.015,0.982,0.964,0.976,0.963,0.036,0.024,0.037,0.43,0.427,0.143,0.222,0.089,0.398,0.596,0.237,0.737,0.026,0.259,0.148,0.593,0.276,0.256,0.468,0.227,0.273,0.5,0.417,0.417,0.167,0.43,0.427,0.143
2016,010324,4040 Mebane Rogers,Mebane,NC,27302,Public,Open,School Is Not New,H,Regular School,Traditional Calendar,0,0,-1,0,0,0,,1217,985,860,N,0,,,,,,,,,,22,22,21,,,,,,,,,,18,18,21,,,,,,,,,,18,18,20,,,,,,,,,,,8517.96,0.631,0.212,0.074,0.074,0.009,0,1155.92,1832.54,5529.5,8859.04,0.62,0.205,0.09,0.075,0.01,0,967.75,2172.86,5718.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996,961,997,1006,0.58,0.51,0.49,0.52,N/A,N/A,0.14,0.15,0.15,0.5,0.37,0.51,,,,,,0.75,,,,,,,,,,,,,,57.95918367,57.95918367,0.936,0.66,12.49,0,0,,1.36,0.941,0.96,12.37,0.23,0,1.24,0.951,1.27,14.02,0.07,0,1.2,0,No,-,1996,No,6.64,-,1999,14.24,2000,19.18,64,1.05,1380,0.92,111757,1.12,,,,,,,,,,,0.942,0.186,0.371,0.443,70,12,0.143,0.128,,0.058,0.86,0.903,0.242,0.24,0.518,54,5,0.211,0.13,,0.093,0.889,0.924,0.914,0.94,0.076,0.086,0.06,0.897,0.231,0.235,0.534,54,8,0.248,0.148,0.003,0.092,0.964,0.964,0.976,0.963,0.036,0.024,0.037,0.43,0.427,0.143,0.222,0.089,0.398,0.596,0.237,0.737,0.026,0.186,0.371,0.443,0.242,0.24,0.518,0.231,0.235,0.534,0.417,0.417,0.167,0.43,0.427,0.143
