Year,unit_code,LEA,____LEA Name____,School,___School Name___,Indian Male,Indian Female,Asian Male,Asian Female,Hispanic Male,Hispanic Female,Black Male,Black Female,White Male,White Female,Pacific Island Male,Pacific Island Female,Two or  More Male,Two or  More Female,Total,White,Black,Hispanic,Indian,Asian,Pacific Island,Two or More,White_Pct,Majority_Minority
2017,010303,10,Alamance-Burlington Schools,303,Alamance-Burlington Middle College,0,0,1,0,19,23,5,22,25,51,0,0,2,5,153,76,27,42,0,1,0,7,0.496732026,1
2017,010304,10,Alamance-Burlington Schools,304,Alexander Wilson Elementary,0,0,4,3,69,65,27,28,191,157,0,0,10,18,572,348,55,134,0,7,0,28,0.608391608,0
2017,010308,10,Alamance-Burlington Schools,308,Altamahaw Ossipee Elem,1,1,0,0,36,57,28,26,231,206,0,1,11,11,609,437,54,93,2,0,1,22,0.717569787,0
2017,010310,10,Alamance-Burlington Schools,310,Broadview Middle,0,1,5,2,179,195,135,136,29,24,0,1,16,14,737,53,271,374,1,7,1,30,0.071913161,1
2017,010312,10,Alamance-Burlington Schools,312,Highland Elementary,2,0,21,21,41,49,63,69,192,207,0,0,15,11,691,399,132,90,2,42,0,26,0.577424023,0
2017,010320,10,Alamance-Burlington Schools,320,E M Yoder Elementary,1,0,1,4,24,15,40,31,112,99,0,0,6,7,340,211,71,39,1,5,0,13,0.620588235,0
2017,010324,10,Alamance-Burlington Schools,324,Eastern Alamance High,1,3,7,4,77,74,157,114,405,333,1,1,24,39,1240,738,271,151,4,11,2,63,0.59516129,0
2017,010326,10,Alamance-Burlington Schools,326,Eastlawn Elementary,0,1,0,0,141,123,102,75,23,21,1,1,6,11,505,44,177,264,1,0,2,17,0.087128713,1
2017,010328,10,Alamance-Burlington Schools,328,Edwin M Holt Elementary,1,3,1,1,19,14,12,9,259,221,0,0,7,7,554,480,21,33,4,2,0,14,0.866425993,0
2017,010340,10,Alamance-Burlington Schools,340,Elon Elementary,2,1,8,5,77,76,52,45,199,236,0,0,14,15,730,435,97,153,3,13,0,29,0.595890411,0
2017,010346,10,Alamance-Burlington Schools,346,B Everett Jordan Elem,0,0,0,1,50,39,18,13,118,130,0,0,8,6,383,248,31,89,0,1,0,14,0.647519582,0
2017,010347,10,Alamance-Burlington Schools,347,Garrett Elementary,4,1,7,3,81,89,44,57,183,191,0,0,17,19,696,374,101,170,5,10,0,36,0.537356322,0
2017,010348,10,Alamance-Burlington Schools,348,Graham High,3,2,10,8,159,196,133,108,104,75,0,0,24,17,839,179,241,355,5,18,0,41,0.213349225,1
2017,010350,10,Alamance-Burlington Schools,350,Graham Middle,1,1,5,4,149,143,77,80,79,48,0,1,17,14,619,127,157,292,2,9,1,31,0.205169628,1
2017,010351,10,Alamance-Burlington Schools,351,Grove Park Elementary,1,0,4,1,68,75,104,84,63,48,0,0,19,14,481,111,188,143,1,5,0,33,0.230769231,1
